((((3*7)+8)+(2+(3*1)))/(4*(4*4)))	37*8+231*++444**/
((((5+(9/6))/(3*(9-5)))/6)+(0+4))	596/+395-*/6/04++
((7+(8+0))-(8*((2-6)+((9*9)*9))))	780++826-99*9*+*-
((2-(5+0))-(3*(9-(5*(4*(7-8))))))	250+-395478-**-*-
(((((9-1)*6)*(2*8))-(6/(3/7)))+8)	91-6*28**637//-8+
(((4*(4-7))*(1+2))/(6+(3*(6-4))))	447-*12+*6364-*+/
(((7-(9*(8*3)))-((0-9)*(4*6)))*1)	7983**-09-46**-1*
((6+3)*((5-((8*6)-(7/(1+0))))+1))	63+586*710+/--1+*
((((7+5)-(1*(5-7)))+3)/(7+(4*6)))	75+157-*-3+746*+/
(((4+4)-(7*(2/(5-1))))-(4/(6/5)))	44+7251-/*-465//-
(8+(((5*(5/(9/(9*8))))/4)+(8+0)))	855998*//*4/80+++
((4-0)-(4*(5*(6-(8-(7/(7+3)))))))	40-4568773+/--**-
((3-((9+(8+9))/(3+9)))-(6+(0-8)))	3989++39+/-608-+-
(6*((8+(2/6))-(4+(6*(8+(9/9))))))	6826/+46899/+*+-*
((8*(1+(7+0)))/((1-(8+6))*(3-4)))	8170++*186+-34-*/
(((1+5)-(1*8))-(0+(5*(3/(3/5)))))	15+18*-05335//*+-
(9-(2-(7*((7/0)*(3+(0/(0*0)))))))	92770/3000*/+**--
(0*((1-(2/3))+(6*(4/(2+(7/3))))))	0123/-64273/+/*+*
(((0+(7-(9/(2/0))))*(6+8))/(3/9))	07920//-+68+*39//
(((8*3)+(((1+8)-(7*0))+(1*2)))-6)	83*18+70*-12*++6-
(8/((1-((9*6)-(2/(4+3))))/(4-0)))	8196*243+/--40-//
((((2+8)*(8/9))+(9*5))*(2-(8-2)))	28+89/*95*+282--*
(((8+8)*(1+(1*(4/3))))*(9-(6*0)))	88+1143/*+*960*-*
(((4*7)*((8-9)+(1*6)))-(1-(5*7)))	47*89-16*+*157*--
(((0-(6*(5/(8+3))))+(9*0))/(1*7))	06583+/*-90*+17*/
((1/(8-7))*((2-(9+2))*(9-(1*1))))	187-/292+-911*-**
((6*7)+(7*((0/(5+4))/(8*(8-4)))))	67*7054+/884-*/*+
((7*(0+8))/((6*8)+(9+((6/0)-0))))	708+*68*960/0-++/
((4+(5+(1/(1/2))))-(5*(7*(1+3))))	45112//++5713+**-
((1+(1*(9*(5/4))))-(4+(6-(7-9))))	11954/**+4679--+-
(((2/(4-(8/(7/6))))*(9-8))+(5-8))	24876//-/98-*58-+
(((9*(1-(7-((3*3)*2))))/6)-(3/9))	91733*2*--*6/39/-
(((7+9)/(3*(5*5)))*(7*(4*(3+6))))	79+355**/7436+***
((0+((5/(9*(3*1)))*0))/(9+(8*3)))	05931**/0*+983*+/
((7+((9*8)-(9/4)))*(1-(9*(6-6))))	798*94/-+1966-*-*
(((2+0)*(3/(1*(8-(5-(6/7))))))*0)	20+318567/--*/*0*
(((3-(6/2))-(3-(8-9)))/(6-(7+1)))	362/-389---671+-/
(((9/7)/(((3/6)+(2-5))-(0-3)))/6)	97/36/25-+03--/6/
(((0*2)/5)-((6/(7/6))*(1/(4/8))))	02*5/676//148//*-
((8*((8/0)*(7/(9*(5-8)))))-(2*3))	880/7958-*/**23*-
(((5/(6-(5/8)))*(4+(5*3)))/(8-0))	5658/-/453*+*80-/
(((2/(4*(2/9)))+(8-0))/(6-(9*9)))	2429/*/80-+699*-/
((9-4)+(3-((9+3)/(8*(4+(0*3))))))	94-393+8403*+*/-+
(((8/6)/(1/8))-((9*(0-4))+(6+1)))	86/18//904-*61++-
((((6/2)/0)+(0-(7-8)))/(5/(8-4)))	62/0/078--+584-//
((6+((6+2)/1))*(5*(9/(9/(7+0)))))	662+1/+59970+//**
((8*(8*(7+(1/8))))/(1+(6/(6-8))))	88718/+**1668-/+/
((((0*(0/3))+0)-(7/(2-(7/0))))*0)	003/*0+7270/-/-0*
(((6*(4*0))*5)*(0/(4/(1*(2*4)))))	640**5*04124**//*
(((7/(((3-5)*(9*2))-(0+7)))/2)+0)	735-92**07+-/2/0+
((5+4)+(5+((4*3)*(8/(8+(0-6))))))	54+543*8806-+/*++
(0+(((0*(8*((4+9)/8)))/4)*(0-2)))	00849+8/**4/02-*+
((((9*(5/0))+9)*(0*(9*7)))+(1+1))	950/*9+097***11++
((3/2)/((9-(1-8))+(5*(6*(6/7)))))	32/918--5667/**+/
(((1+7)+(7/(3-5)))-(1+(4*(6-5))))	17+735-/+1465-*+-
(((((9*9)-4)+(5-2))-(8+5))/(9/4))	99*4-52-+85+-94//
((((6+2)+8)*(4-(0/7)))*(9/(4+7)))	62+8+407/-*947+/*
((4+7)/(5/(1-((6*(3-0))/(9+2)))))	47+51630-*92+/-//
(((8-(7*0))+((8+7)*8))*(9+(2*6)))	870*-87+8*+926*+*
((5/8)-((0/((5+6)-5))-(9*(7-9))))	58/056+5-/979-*--
((3+((6/0)*(5-1)))+(6/(6/(2-5))))	360/51-*+6625-//+
(((0*(9/((9-3)+(3+0))))-(6+2))/2)	0993-30++/*62+-2/
(((7-(0*((4*6)/3)))/(7*(4-8)))/0)	7046*3/*-748-*/0/
(((9-9)-(1*4))*(2+(9+(2-(0/2)))))	99-14*-29202/-++*
(((6+7)/1)+((0*3)-(1+(0-(0*6)))))	67+1/03*1006*-+-+
(5+((1*(6+(3/7)))-(6+(5/(9*7)))))	51637/+*6597*/+-+
((3/3)*((0-(2+0))+(1*(6-(1-0)))))	33/020+-1610--*+*
((3-(2+7))-(7+(3-(5*(9+(8-7))))))	327+-735987-+*-+-
((0*((3-4)/(9-(0+(0*8)))))+(6+5))	034-9008*+-/*65++
(((3/4)+(0*(2*6)))/(7-((9*4)-9)))	34/026**+794*9--/
(((7*3)*8)+(2/(5*((5/(7*3))*8))))	73*8*25573*/8**/+
(((5-8)*(4-(2/(8/(9/(2*9))))))-4)	58-428929*///-*4-
((((2-0)*(3+9))*(6/4))*(3*(1+9)))	20-39+*64/*319+**
(((7-(6-4))-(9+(2-9)))/(2-(9-9)))	764--929-+-299--/
((7-8)/(8*((4/((5/(9/6))+1))+7)))	78-84596//1+/7+*/
((2*5)/((3+(1-(2+(2*6))))/(7/4)))	25*31226*+-+74///
((9+(0-2))+((0-(3+9))*(6*(2+9))))	902-+039+-629+**+
((((6-5)-7)*(4/(8/(5/0))))*(0*2))	65-7-4850///*02**
((7/((6+(3/(9+7)))-5))+(7*(0+0)))	76397+/+5-/700+*+
((1+(1*(6-(3+1))))-(7-(6*(3/3))))	11631+-*+7633/*--
(((8-9)/(4*4))-(0/(6/((6/2)-6))))	89-44*/0662/6-//-
((3-(8+(6-1)))*(5*(9/(2*(0/6)))))	3861-+-59206/*/**
(((0/((9*4)+4))/(8/0))*(5-(4*2)))	094*4+/80//542*-*
(((0*(0-4))+(5*(2+1)))/(1/(2+5)))	004-*521+*+125+//
(((6/5)*(3/0))*(9/((0/(7*0))*1)))	65/30/*9070*/1*/*
(((6*(4/2))+(3*9))-(4+(3-(2-7))))	642/*39*+4327--+-
(5-(((6+(8+0))+(8-0))*(8-(0/7))))	5680++80-+807/-*-
(0-((7+4)*(4/((5/8)+(2+(8*0))))))	074+458/280*++/*-
(((8+((2-2)+(0*1)))/(4+(9-9)))/5)	822-01*++499-+/5/
(((0/(7+7))/(8/0))-(5+(4/(3/8))))	077+/80//5438//+-
(3+(4*((2-(3-(2+(3-(0/9)))))*1)))	34232309/-+--1**+
(((9-5)/(5+(7*2)))+(2-(1-(1/1))))	95-572*+/2111/--+
(((7/(9/4))-(2*(3+(4/1))))+(9+4))	794//2341/+*-94++
(((7+1)-(4-9))*(6+((0+(7-8))+0)))	71+49--6078-+0++*
(((1*(8/0))*((4-(6*2))/(3-5)))/3)	180/*462*-35-/*3/
((0+(((1-4)/(7-4))-(7-7)))-(3-4))	014-74-/77--+34--
(((1-(4-5))/(3-(6-6)))/(5-(1*2)))	145--366--/512*-/
((9+(4/8))/(4*((8+0)+(6/(9-3)))))	948/+480+693-/+*/
(((5/8)+(3/(1-(5-4))))/(0*(4/9)))	58/3154--/+049/*/
(((4-5)/(9+(3-(5*(5/9)))))-(6+1))	45-93559/*-+/61+-
(((1+(2+5))-0)*(3-(7+(7/(3/0)))))	125++0-37730//+-*
(((0/(4-6))+(1*(3+(1-4))))/(2-0))	046-/1314-+*+20-/
(((((8/3)-(8-5))+8)*8)+(8-(1/1)))	83/85--8+8*811/-+
(((2/0)/(7/(5-9)))+(6/(0+(0/3))))	20/759-//6003/+/+
(((2-(2*4))*((0/6)-(9*6)))+(0/9))	224*-06/96*-*09/+
((8+(1+(0/(3+8))))/((2-(5*2))+9))	81038+/++252*-9+/
((2-(4*4))+((6+(1-0))*(3*(2/2))))	244*-610-+322/**+
((4/((3+4)/(1+(3-(9-9)))))+(6*3))	434+1399--+//63*+
(((3*(9*9))-(2-(3-0)))*(4+(3*6)))	399**230---436*+*
((1-8)/((0*((0-1)-(0+6)))-(1-0)))	18-001-06+-*10--/
((((9-9)-4)/(8*4))*(0+((6-6)*0)))	99-4-84*/066-0*+*
((6-(0+9))*((5/(1-9))+(6/(5+5))))	609+-519-/655+/+*
((8/(0+9))-(5-(7*(7-(1-(3/2))))))	809+/577132/--*--
(((0/(5+2))+(4+3))/(0+(6/(0/1))))	052+/43++0601//+/
(((4+(1*7))/(1*(5*9)))*(4/(8/7)))	417*+159**/487//*
(3+(2*(4/(1-(7-(0+(7/(2-5))))))))	324170725-/+--/*+
((6*(1+(8/(6/(5*(5-6))))))-(5+8))	6186556-*//+*58+-
(((9+(1-4))-(9+(4+6)))-(1/(1+1)))	914-+946++-111+/-
((((7*(7/6))*(9-5))/4)*(5*(3/4)))	776/*95-*4/534/**
((7-(6*(1+(1+(3+8)))))*(2/(8-6)))	761138+++*-286-/*
(((3/(1+(0*7)))+4)*(9*(3/(9/2))))	3107*+/4+9392//**
(1-((6*(3-2))+((7/(8+(7+7)))-7)))	1632-*7877++/7-+-
((((3*(5*2))/9)/(5/7))/(7-(4*1)))	352**9/57//741*-/
(((7+0)*(7-(4+1)))*(3*(4+(6*6))))	70+741+-*3466*+**
(((((0+7)/3)*(9-5))/(7-2))-(0*4))	07+3/95-*72-/04*-
(((9+(4-2))/(3/(2+8)))*(4+(4+8)))	942-+328+//448++*
((((7*4)-(8+4))+(1+2))*(8*(0+1)))	74*84+-12++801+**
((((5-6)-(5-9))*(6/1))/(9-(6/0)))	56-59--61/*960/-/
((7/(1-((8+5)+8)))+(5-(8+(0-2))))	7185+8+-/5802-+-+
(((4-(7-(7+(3/6))))+1)+(4*(5/1)))	47736/+--1+451/*+
((((8-6)-(2+5))+2)*(9/(8+(7*4))))	86-25+-2+9874*+/*
(((2*(0*(6+1)))*(5/0))*(6+(2+4)))	2061+**50/*624++*
((((5+1)/(0+0))/(7-(0-4)))-(5-0))	51+00+/704--/50--
((0-8)*(((6+(6/1))+7)/(5/(4/5))))	08-661/+7+545///*
(((4+(7*(9*0)))-(9+2))+(0*(2+7)))	4790**+92+-027+*+
(7-((4/7)/((4*(6*(7-0)))-(7/0))))	747/4670-**70/-/-
((((2/(6*9))-(9/(8/3)))/(6+5))-7)	269*/983//-65+/7-
((9-(8/(9/(2+6))))+(0-(7/(7/7))))	98926+//-0777//-+
(5/(((3-9)-0)/(6+(7-(0*(2-5))))))	539-0-67025-*-+//
(6+((4+(3/(4+(7+4))))-(4+(5-9))))	643474++/+459-+-+
((4/((2*(2/(7+0)))+(2/1)))*(8*9))	42270+/*21/+/89**
(8+((8+(5+4))-(2-(6+(0*(9+6))))))	8854++26096+*+--+
((4+(7*(6-(2+5))))*(5*(3-(3-8))))	47625+-*+5338--**
((5*((1+0)/(2-8)))/(7*((5-6)+3)))	510+28-/*756-3+*/
(((1+(5-(5/3)))/(4-1))/(9-(9-0)))	1553/-+41-/990--/
((0*((3+(2*4))+(6/(9*4))))+(5-7))	0324*+694*/+*57-+
(((2*(5/1))+(8-3))-(1+(6+(7/2))))	251/*83-+1672/++-
((((2/(2*0))*3)/(1*1))/(2+(4*8)))	220*/3*11*/248*+/
(((0/6)*(0-(3-(6+8))))*(6-(0/2)))	06/0368+--*602/-*
(((7-(5-4))-(2-7))*(7/(0*(5+5))))	754--27--7055+*/*
((((3-7)+3)-(0/(8-(2*(4*4)))))-6)	37-3+08244**-/-6-
((4-(7*3))*((6*(5+(3*6)))/(5-9)))	473*-6536*+*59-/*
((3/(1-0))/((2+(4-9))/(1*(8-9))))	310-/249-+189-*//
((((4+9)-(5-7))/(5+(1*0)))-(0+3))	49+57--510*+/03+-
((3/6)-(3-((5-(3-8))+(1/(8+6)))))	36/3538--186+/+--
((((2+7)/(9+9))/(4+(6*(8+6))))/9)	27+99+/4686+*+/9/
(((3+6)/(8-7))+(8/(3*(0+(8*4)))))	36+87-/83084*+*/+
(((3/0)+(8+7))/(2*(0/(0+(1*8)))))	30/87++20018*+/*/
(((0*(8/8))*(3+4))*(0+(6-(2*1))))	088/*34+*0621*-+*
(0-(((4/8)*(1*(2+9)))+(8-(3+9))))	048/129+**839+-+-
(((4+3)/(4*(8-(1-5))))-(1/(0*2)))	43+4815--*/102*/-
((6/(6-3))*((3*(4+(4/(0/7))))*4))	663-/34407//+*4**
(((((9+(2-1))*0)*(2/(7*1)))-1)+0)	921-+0*271*/*1-0+
(2-((8-(6*5))+((9+9)/(0/(9-0)))))	2865*-99+090-//+-
(8+((((0*(0*(5-1)))+(7*6))*6)/4))	80051-**76*+6*4/+
((((5+2)+2)/(1/(1-(6+3))))+(3*1))	52+2+1163+-//31*+
(3/(((1*7)-(8/2))*(6*((7*7)*3))))	317*82/-677*3***/
(((6-(2+(0*0)))/(9-(1+1)))+(8-2))	6200*+-911+-/82-+
(((5/1)*((7-8)*(3/(8+7))))-(8/2))	51/78-387+/**82/-
((((3-9)*6)*(3*0))+(2+((8-3)/6)))	39-6*30**283-6/++
(((9/2)*(1-6))*(6*(2-(2+(7/7)))))	92/16-*62277/+-**
((4/((6/(8/6))+(2-(0-(5+9)))))*3)	4686//2059+--+/3*
((((1/2)-(6-(7/4)))+(1+(1*7)))-2)	12/674/--117*++2-
(((7-4)*(3-(8-2)))+(8*(9-(8-2))))	74-382--*8982--*+
(((2/0)-(0/((7/4)+3)))/(2+(7-5)))	20/074/3+/-275-+/
((3-(9*(8-2)))+(0-(5+(5+(7*4)))))	3982-*-05574*++-+
(9/(8+((2/4)*((9*4)/(9-(3+3))))))	9824/94*933+-/*+/
(((1*(7*4))*(0/6))-(5*(1+(9*3))))	174**06/*5193*+*-
((2-(6*(9*(2+(6+0)))))-(7*(3*6)))	269260++**-736**-
((6-(2-((4/8)-(3-(5-(9/8))))))-9)	6248/3598/-----9-
(9-((7*((3-3)/7))-(7*(2/(8-4)))))	9733-7/*7284-/*--
(((7*(2/(6-3)))*(5-7))+(6*(5/5)))	7263-/*57-*655/*+
(((9-(2+9))*(2/(9+(6*7))))/(2+6))	929+-2967*+/*26+/
((9/(3-(5/6)))-(2+(4-(3-(3/2)))))	9356/-/24332/--+-
(((4-(2/(7+3)))/(3-(2-4)))+(5*5))	4273+/-324--/55*+
(((3*(6*(3-(0+2))))/(0-6))-(5/8))	36302+-**06-/58/-
(((8+8)/(2*((7/3)+(6+2))))*(2*2))	88+273/62++*/22**
((((3+(8+(5+1)))+4)+1)*(3/(4+5)))	3851+++4+1+345+/*
(8-(((9*2)+(6-8))+(4-(6+(9+9)))))	892*68-+4699++-+-
((1*((6*4)*(5-(5+5))))-(7-(8/3)))	164*555+-**783/--
((((3*1)+(1+0))/(8+2))-(3-(8+1)))	31*10++82+/381+--
(((3*(2+8))+(0/(3-(9-0))))+(6*2))	328+*0390--/+62*+
((((5-5)*(3*3))+(5*(5+7)))+(4-8))	55-33**557+*+48-+
((1+(2*(4+(0+(2-(5/5))))))-(8/4))	1240255/-++*+84/-
((1-(8*(9/(1/(1+4)))))+(5/(5/0)))	189114+//*-550//+
(((2/2)*(3-(1+(0*0))))-(6/(4-7)))	22/3100*+-*647-/-
((1-(1+(4+(3-2))))-(5/(0*(1+7))))	11432-++-5017+*/-
(4+(((9-8)*(0*2))+(9*(5/(6/8)))))	498-02**9568//*++
(((4/3)/(8/5))/(7-(6-(3+(3*6)))))	43/85//76336*+--/
((1/2)/(4-((5+(6-7))+((7/5)-8))))	12/4567-+75/8-+-/
(4+(9-((4-(7*(8*0)))+(0-(3-7)))))	494780**-037--+-+
((((7*5)+6)*(0*(5+2)))*(8*(3+7)))	75*6+052+**837+**
(((6*3)+(2+(7+6)))+(6/(5/(7/0))))	63*276+++6570///+
((5-((7-9)*1))/(3/(4/((6-0)-3))))	579-1*-3460-3-///
(((3-(8/6))*(9+(4/0)))*(8*(2-0)))	386/-940/+*820-**
(((6-6)+(5-(7/7)))*(7/(5/(8/3))))	66-577/-+7583///*
((5-(4-(0/(9-3))))/(8+(2+(7-9))))	54093-/--8279-++/
((((0/2)+4)-(3+5))+(6/(8*(1-1))))	02/4+35+-6811-*/+
(2/(8-((3+((5/0)*6))-(3/(5-8)))))	28350/6*+358-/--/
(((3/2)+(0/7))-((5*9)-(0/(6*1))))	32/07/+59*061*/--
((0+(((3+0)*5)*(5-(4/(4+0)))))+4)	030+5*5440+/-*+4+
((((8-1)*(5-3))-9)/(0+(2+(7*8))))	81-53-*9-0278*++/
(((8/0)*(6+6))-(8*(3*(0*(0/6)))))	80/66+*83006/***-
((((5-8)*(5*(3/7)))+(4-5))/(8*3))	58-537/**45-+83*/
(7+((4-(((5+7)+5)*5))+(8/(0+4))))	7457+5+5*-804+/++
((((0+(3*4))/(4*(3+9)))*(7-8))-6)	034*+439+*/78-*6-
(((9*(0+(2-5)))+(9+(7/9)))-(2+3))	9025-+*979/++23+-
(((8*(7+(5-3)))*(2/(7*7)))/(4-2))	8753-+*277*/*42-/
(((5+5)+(7/2))*(5*(6+(8-(3*9)))))	55+72/+56839*-+**
((4*0)*((4-((0-(7*(9+0)))/5))*9))	40*40790+*-5/-9**
((((6-1)+(1*(7/(0*7))))-1)/(0+9))	61-1707*/*+1-09+/
((2/((4/8)/(9-(8-3))))/(7*(8/8)))	248/983--//788/*/
((7/(1-5))-(6-((8*4)-(6*(7+7)))))	715-/684*677+*---
(((9*(8/6))+(7+(1/7)))+(1-(1-2)))	986/*717/++112--+
((2+1)+(1/(1+(7*(3*(4+(7+5)))))))	21+1173475++**+/+
((8/(1/(6-(0*5))))+(3+(4+(5+2))))	81605*-//3452++++
(8-((6-((8*3)-(8/(0-8))))-(6*5)))	8683*808-/--65*--
((((6*1)*(4-1))+(4*6))+(9/(7/3)))	61*41-*46*+973//+
((8+((9-2)+(8*5)))-(5-(1/(8+9))))	892-85*++5189+/--
((((7*(2+4))/(4/9))+(1+8))+(2+3))	724+*49//18++23++
((2/(7+3))-((9+((6-4)+(3/3)))-7))	273+/964-33/++7--
(((7+(4/3))-(6*(0-1)))+(5+(0+4)))	743/+601-*-504+++
(((2-1)*(3-(8/0)))+(8+(2+(3/5))))	21-380/-*8235/+++
(((1*(3+6))-(6*7))/(0-(5-(2-2))))	136+*67*-0522---/
(((8*0)/(0/(0+(2-(4/2)))))/(5*1))	80*00242/-+//51*/
(((5+(7-8))*(1/7))+(6*(9/(8-9))))	578-+17/*6989-/*+
((3+(((5+(6-1))/6)/1))/(1-(0-6)))	3561-+6/1/+106--/
((1*(((9/0)/1)+(3/(9/9))))/(6+6))	190/1/399//+*66+/
(((3-(4*(7*(3*(0+7)))))-(2+5))+9)	347307+***-25+-9+
(((8+3)/((2+8)/(5*(2/(5+9)))))+8)	83+28+5259+/*//8+
(((7+2)+(9+(4*0)))*(7/(1+(4+7))))	72+940*++7147++/*
((((4/4)/(3*9))/(0/(7-0)))*(5+3))	44/39*/070-//53+*
(((1*8)+((7+5)/(3/(5+(6/4)))))/5)	18*75+3564/+//+5/
(8*(((5/4)-(2/9))+(9-(0/(3+7)))))	854/29/-9037+/-+*
(((2/0)-(7-(2+(3*9))))+(3*(2-7)))	20/7239*+--327-*+
((((3/6)*(1*3))+((3-9)+(2/0)))-8)	36/13**39-20/++8-
((3*(2+(8+(9/(9/8)))))/(4+(5*5)))	328998//++*455*+/
(((1-1)/(7+(6+8)))-(6/(4/(8-5))))	11-768++/6485-//-
