(((8+0)-(6-(5*(5+6))))+8)	80+6556+*--8+
(((4*2)/(7*(1+(8-1))))/(3/7))	42*7181-+*/37//
(5+(((9/(5/2))/3)+(7/0)))	5952//3/70/++
((((1+5)*(0*(4+0)))/4)+(2+8))	15+040+**4/28++
((7-(6*((2/0)*(1/9))))+7)	7620/19/**-7+
((3+(1/3))-(0-(5+(6-2))))	313/+0562-+--
((((8*2)+9)*(6+5))*(3-0))	82*9+65+*30-*
(((1/(6/9))+3)/(0+(7+(6/8))))	169//3+0768/++/
(((1+2)*(6-(7-9)))-(7-0))	12+679--*70--
((1/((9-(0/(0+(0-8))))-0))*7)	190008-+/-0-/7*
(((5-4)-4)-(5+(3+(3+8))))	54-4-5338+++-
((9+(0+(7-(1+1))))+(2*(6/4)))	90711+-++264/*+
(7*(8+((4+0)/(0+(3*1)))))	7840+031*+/+*
((2/(5*(4+8)))*(8+(1-4)))	2548+*/814-+*
(((8/8)/(6/(7-6)))+(1+1))	88/676-//11++
(((4/9)/(6*7))/(7+(6*(3-9))))	49/67*/7639-*+/
((8*2)/((1/(5-7))+(9*(4*0))))	82*157-/940**+/
((1/(4+4))+(7*(5-(0*(3-2)))))	144+/75032-*-*+
((((5/(6/0))*(9/(3+6)))/7)-0)	560//936+/*7/0-
((7+(6/(2/4)))*(8-(7+(1-3))))	7624//+8713-+-*
((((6-(3-8))*9)-(7*(1+7)))+8)	638--9*717+*-8+
(((3+(3/2))-(0-(5+(2/0))))*5)	332/+0520/+--5*
(8+((8/(2+5))+(7/(9/4))))	8825+/794//++
((7+(9/3))*(7-(1*(6*(4/9)))))	793/+71649/**-*
((2+(9+6))/((6-1)*(1-1)))	296++61-11-*/
((6+3)+(((8-5)/3)*(9/4)))	63+85-3/94/*+
(((5/6)-2)/((8-(4/(7-5)))+5))	56/2-8475-/-5+/
(((3-4)+(9/2))-(6-(3-(0-6))))	34-92/+6306----
((6-(4+(0*(1*(7+3)))))*(5-5))	640173+**+-55-*
(((3*6)*(5-(1*4)))-(1/(4*6)))	36*514*-*146*/-
(3/((6+(3/(5-(8+0))))-0))	363580+-/+0-/
(((7+5)+9)*(5+(5*(8-7))))	75+9+5587-*+*
(3+(3+((8-(4+2))+(1+9))))	33842+-19++++
(((5-5)-2)-(7-(0+((3-8)+6))))	55-2-7038-6++--
((5+(2/(2/0)))+(0+(8+(7/9))))	5220//+0879/+++
((1+(3+5))-(3+(4/(8-7))))	135++3487-/+-
(4-(((9/0)*(7-5))+(4*3)))	490/75-*43*+-
((3-3)/(1+(2-(7*(9+8)))))	33-12798+*-+/
((0*4)*(((0/9)+4)/(6/(9-8))))	04*09/4+698-//*
(((7-(5-(4*7)))*((1*7)*9))*9)	7547*--17*9**9*
(((8-0)-4)-((5/(8/1))+(4+5)))	80-4-581//45++-
((4*((8/7)*(6/5)))+(4*(6/6)))	487/65/**466/*+
((0*1)-(((2+(9*2))*4)-(3/7)))	01*292*+4*37/--
((((9-4)-8)+4)-((9-0)/(8/4)))	94-8-4+90-84//-
((9-((9-(0-9))-(1-1)))-7)	9909--11---7-
(((0/1)+((8+2)+8))+(0/(9*6)))	01/82+8++096*/+
((7/(6/(9+6)))-(1-(2+(4/2))))	7696+//1242/+--
((4*4)+(3*(0+(3+(9-3)))))	44*30393-++*+
(((5/7)*(3+(8+1)))/(0-0))	57/381++*00-/
((0/(9/(7+0)))+(4/(7/(4*0))))	0970+//4740*//+
((1-(4/(9*9)))*(0-(1+8)))	1499*/-018+-*
((7*(1-0))-(8/(6/(1+(1-0)))))	710-*86110-+//-
((((6-9)+1)/(4+(0/8)))/(2*3))	69-1+408/+/23*/
((5-(3+(0+1)))+(7*(8*3)))	5301++-783**+
(3*(6-(6-(8*(6+(3*5))))))	3668635*+*--*
(((9-5)-9)-((8/(9/(4/5)))*2))	95-9-8945///2*-
((2+(9-(3-(9-9))))+(6-(3-9)))	29399---+639--+
(((9*((4*3)*0))+(1-9))*(6/7))	943*0**19-+67/*
((5*(6+7))*(8+(4*(5*3))))	567+*8453**+*
(((6/(0-(2/(0/6))))*(1-6))-5)	60206//-/16-*5-
(((9/3)+(9*(8*9)))+(0+2))	93/989**+02++
((2/(4*(8+(9*0))))*(4-(4*3)))	24890*+*/443*-*
(((0*3)/(6/3))-(2-(7+6)))	03*63//276+--
(((1/(7+1))/(7/(8*9)))-(8+6))	171+/789*//86+-
(((1/(1+1))/(7*0))*(6*0))	111+/70*/60**
((2-(8*7))+(6+(5/(8+7))))	287*-6587+/++
(((1-(4/5))*4)*(3+(0/(6*2))))	145/-4*3062*/+*
(0/((5*(6-8))*(0-(7/9))))	0568-*079/-*/
(((8-5)-((4+4)*(1/2)))+4)	85-44+12/*-4+
(((9+(9+8))+(5+(1-2)))*(8*2))	998++512-++82**
((8/2)+((4*(5/1))+(0/7)))	82/451/*07/++
((((5*(0+3))/8)-(1/8))/0)	503+*8/18/-0/
(((1*(0*3))/3)+(2/(6+9)))	103**3/269+/+
((((5-4)+3)*(1+0))-(9+(4+4)))	54-3+10+*944++-
(1/((5-6)+(3*(3-(9/8)))))	156-3398/-*+/
(((2-6)+(1-5))/(3*(9-5)))	26-15-+395-*/
((4/(9*9))*(1*(3+(2*(3-2)))))	499*/13232-*+**
((8+((9/8)*(8*(9+4))))-(1-5))	898/894+**+15--
(3/((5-4)+(6/(1*(3*0)))))	354-6130**/+/
((3-0)/((5+(2-(1+7)))*(7*8)))	30-5217+-+78**/
((6*6)/((9+((7*4)*3))+0))	66*974*3*+0+/
(9/(3*((1-6)*(6/(0/1)))))	9316-601//**/
(1+(((1+5)/(7/2))*(5*4)))	115+72//54**+
((3*(5*(8/(9-8))))*((8-6)*6))	35898-/**86-6**
(6-(2/((8-(9-(0+2)))*2)))	628902+--2*/-
((6*3)/(((4-(9*7))+(8-1))+4))	63*497*-81-+4+/
(8+((2+9)+(6+(1+(6*9)))))	829+6169*++++
(((9-0)+0)*(7-(6/(1+(6*0)))))	90-0+76160*+/-*
((3+(5+(4-9)))+(4*(1*(4+1))))	3549-++4141+**+
(8-(4/((8/1)/(4-(8/8)))))	8481/488/-//-
((9*(1/1))-(0/(5-(5*(9/8)))))	911/*05598/*-/-
((1*(5*(6+0)))/(6-(0*(8*5))))	1560+**6085**-/
((9-(6/1))-(3+(6+(1*7))))	961/-3617*++-
(((6*7)*(8+(7+(7-(2/5)))))+5)	67*87725/-++*5+
(((8+5)/(0*(7+4)))/(1+(4+9)))	85+074+*/149++/
((5+(7*(7*6)))/(4*(3/8)))	5776**+438/*/
((2+(((9-(2/9))*3)*(4/8)))*3)	2929/-3*48/*+3*
((((3-0)-2)-(7+6))+(2+(2*8)))	30-2-76+-228*++
(((0*4)+(6-(4*5)))+(3/(3*3)))	04*645*-+333*/+
((5/((1+6)-(9+4)))/(0+2))	516+94+-/02+/
(((3+(4/7))/(8/2))/(9+9))	347/+82//99+/
((7*(6+5))/(4/(0+(9/(4*9)))))	765+*40949*/+//
(7+((0/(2-2))-(8*(7+7))))	7022-/877+*-+
((4*(2/(5/8)))-(8-(9-(8+0))))	4258//*8980+---
((((5*0)/6)-(3/5))/(5-2))	50*6/35/-52-/
(((0-2)*(2*(3*4)))+(6*(3+3)))	02-234***633+*+
(7+((2-(4-3))+((7*(2+0))*1)))	7243--720+*1*++
(((3*7)-(6+(8+8)))+(3*(3*2)))	37*688++-332**+
(((6/(8+(4*9)))+(8-7))/(3*3))	6849*+/87-+33*/
(((1/2)/1)*(3/(7/(8/7))))	12/1/3787///*
(((4-(7+8))-(6*8))*(7+(7/4)))	478+-68*-774/+*
((7*3)+((7*(2+5))*(6*0)))	73*725+*60**+
(((5-1)+(8*9))+(8*(6/(6/0))))	51-89*+8660//*+
(9/((5-(0/(4*4)))+(6+9)))	95044*/-69++/
((9*(2*6))/((9*(7*(9+6)))-7))	926**9796+**7-/
((9*6)/(4-((7*8)*(5+8))))	96*478*58+*-/
((2/6)/(9+((9*3)*(8*(0+4)))))	26/993*804+**+/
(8/(((8+6)/(2/2))-(3*8)))	886+22//38*-/
(((5-3)*7)/((1+(9-(1/7)))-3))	53-7*1917/-+3-/
((7*(9/(6-6)))+((3/2)/(8+0)))	7966-/*32/80+/+
((5*(9/8))+((2+3)+(6*(3+7))))	598/*23+637+*++
(0*((6+(4/0))-(7+(5*0))))	0640/+750*+-*
((1*(5*(5-(9-4))))*(0/(5/4)))	15594--**054//*
((((1-8)-3)+(0-5))-(1/8))	18-3-05-+18/-
((3+(5-(3-(7+6))))/(0/2))	35376+--+02//
((9-5)/(3-(3+(9*(6*(3+1))))))	95-339631+**+-/
((4+(3+(9-3)))-((6*(7+3))+9))	4393-++673+*9+-
(4*(2+((6-(2/(3*3)))/(6-2))))	426233*/-62-/+*
(((5-5)-(7-(9-(5+8))))+(2+7))	55-7958+---27++
(((3/(9+6))-1)-(7/(4-(8/7))))	396+/1-7487/-/-
((((6/4)/0)-(8/0))/(2-(8+6)))	64/0/80/-286+-/
(9/((1+6)*(0+(0-(0-(2*3))))))	916+00023*--+*/
((1+9)-(7+(5+(6*(2*9)))))	19+75629**++-
(6+(((2/(5*(7-9)))+4)+(7-4)))	62579-*/4+74-++
(4/(2*((4*(5/7))+(6+(5+2)))))	42457/*652+++*/
((4-7)-((0+3)*(0/(5*(3*4)))))	47-03+0534**/*-
(6*(((2*(8-4))-(6+5))+(0-7)))	6284-*65+-07-+*
(((2-(4*(8/(3*2))))+5)+(5+2))	24832*/*-5+52++
((((2+1)-(5/(0+8)))-(5/7))*7)	21+508+/-57/-7*
(((9*5)/(6*(5-1)))/(2/7))	95*651-*/27//
((4+(6+(9-1)))-(5+(3+0)))	4691-++530++-
((2*3)/(((1*8)-2)-(6/1)))	23*18*2-61/-/
((9*(2*4))+((8*(3-(8+8)))*5))	924**8388+-*5*+
((2-3)/(6*((2+(9+5))/9)))	23-6295++9/*/
(9*((((1-6)/(0/(4*8)))/7)*0))	916-048*//7/0**
((6/3)*((0+7)/(2*(2*(5*0)))))	63/07+2250***/*
((((4/(9+5))-2)-(0/0))/(5/2))	495+/2-00/-52//
((7-(3*2))*((3-(8/0))+(4-0)))	732*-380/-40-+*
((2*(2/1))-(9-(6/(1+6))))	221/*9616+/--
(((4+(7*0))*(7/7))*(5*0))	470*+77/*50**
(((0/(3*8))/(8*2))*(9+(7-6)))	038*/82*/976-+*
(7*((1+8)*(9+(4+(1/9)))))	718+9419/++**
(((5-(1/(8+(8-9))))-(5*5))/9)	51889-+/-55*-9/
((0+8)+((9/9)/(9/(6-6))))	08+99/966-//+
((4*((2+5)/(0-7)))/(2+9))	425+07-/*29+/
((6-1)/((7*(7/(6/7)))+(3/7)))	61-7767//*37/+/
(((9-(0-4))-(5*1))/(7/(6-7)))	904--51*-767-//
(6+((1/3)+(6/(1+(8-3)))))	613/6183-+/++
((7/(1+(1/7)))*(3*(6-3)))	7117/+/363-**
((5+(1/(4+0)))*(4+(7/(8/0))))	5140+/+4780//+*
((4-(4-(0-5)))*(8/(0/3)))	4405---803//*
(((6+4)/(2-(8/(0/7))))*(3*4))	64+2807//-/34**
((2/6)-(4/(3*(4-(3*7)))))	26/43437*-*/-
(6/(((1*5)*(2-7))/(9-(1-7))))	615*27-*917--//
((3/0)/((1*(8/1))+(5-(6*7))))	30/181/*567*-+/
(((8-(8+3))-4)/(5*(8-(7+5))))	883+-4-5875+-*/
(((2/7)-(4-3))+(9-(1+(7-6))))	27/43--9176-+-+
((5+(0-(9/1)))+(3*(5-3)))	5091/-+353-*+
(((6/(4*4))-1)*(9*(8/4)))	644*/1-984/**
((0+(9/(5-0)))*(4*(2+6)))	0950-/+426+**
((5-0)+((8*(4*9))+(2-(2-8))))	50-849**228--++
((9+(3+((0-8)/6)))*(8+6))	9308-6/++86+*
((7/5)-((9*((5*(1+7))+5))/6))	75/9517+*5+*6/-
((3*((3*(7-5))/(2*9)))+(2+0))	3375-*29*/*20++
(((2+6)/2)/(5/(4/(1/(7/0)))))	26+2/54170/////
((6-(5/(3-5)))-((2*(8+9))/0))	6535-/-289+*0/-
(((5/(1-4))/5)*((9-9)*3))	514-/5/99-3**
(((3*2)/8)+((3-(6/8))-(5-7)))	32*8/368/-57--+
(((4-5)+3)+(0+(7-(9+5))))	45-3+0795+-++
((0-7)/(7/(6+(3/(4/2)))))	07-76342//+//
((((8*(0*5))*8)*4)+(3*(8*2)))	805**8*4*382**+
(((6+(9+4))/(0+1))*(9-3))	694++01+/93-*
((7/(((1+0)-(2/3))*8))*2)	710+23/-8*/2*
((3+(1*3))+(1+(2+(5+(9*9)))))	313*+12599*++++
(((8+7)*(2-8))+(4-(4*5)))	87+28-*445*-+
(((6-(9+(9*(0*7))))*5)-(8+0))	69907**+-5*80+-
(8*((4*(5*5))+(4/(9*(5/9)))))	8455**4959/*/+*
(((6+1)+7)*(1/(4*(7/9))))	61+7+1479/*/*
(2-((7/5)-(1-((3*1)*5))))	275/131*5*---
((9+(6-(9/7)))-(2/(1+2)))	9697/-+212+/-
((6-(8/(5-(2*7))))*(3/(5*1)))	68527*-/-351*/*
((5*9)+(4-((4/7)+(8/(7-2)))))	59*447/872-/+-+
((9-(6-(3/2)))+(4*(5+5)))	9632/--455+*+
(((5-3)*(8/5))/(6/(3*5)))	53-85/*635*//
((3-(8/(6/2)))*(4/(6/1)))	3862//-461//*
((3*(8-(7-3)))/(2*(2/(7/9))))	3873--*2279//*/
((0+6)-((0-(9/(6+(1+6))))/1))	06+09616++/-1/-
((5+(1+(6*9)))-(1*(0/5)))	5169*++105/*-
(4/(4/(((1/5)+3)-(4+1))))	4415/3+41+-//
((((9*9)+4)/(9/8))/(1+(2+0)))	99*4+98//120++/
((4/4)/(1-(2/((3-6)+1))))	44/1236-1+/-/
((4*(4*(7-7)))*(8-(8/0)))	4477-**880/-*
(((8+6)+((4/9)+0))/(9-(7*2)))	86+49/0++972*-/
((9/(4/8))*((7+(0*0))-5))	948//700*+5-*
((2/6)/(9-((5*(9/8))*(0-5))))	26/9598/*05-*-/
(5-(1/((2*5)-(3+(7-4)))))	5125*374-+-/-
(3*(((6-9)-(2/7))*(4*(4+7))))	369-27/-447+***
(((9-3)+(6*(5/(7-0))))/2)	93-6570-/*+2/
(1-((4*3)+(2*(8/(3*(2/8))))))	143*28328/*/*+-
((1-((0*8)*4))/(7-(4-(8-8))))	108*4*-7488---/
((0-(5/(2/9)))+(6+(1/(8-8))))	0529//-6188-/++
((((4*(7/8))-5)-(2*(7+8)))-7)	478/*5-278+*-7-
(9/((7/(6/8))-(0-(4*(2-1)))))	9768//0421-*--/
((((7/4)*6)-7)*((7/(8-6))+2))	74/6*7-786-/2+*
((2/6)+(0+(3/(2*(3-2)))))	26/03232-*/++
(((6+(2-6))-(0+0))*(7*4))	626-+00+-74**
(((0+(2+5))*(9+6))+(5-6))	025++96+*56-+
(((0*4)-4)+(0/(7+(3+(8+7)))))	04*4-07387+++/+
(9+((9-(3*(6-8)))/(9-9)))	99368-*-99-/+
(((7/6)+(5/(0-4)))+(4-(1/4)))	76/504-/+414/-+
((9-3)*((5/((9*(6-7))-0))+3))	93-5967-*0-/3+*
((((1/9)+(4/4))-(6+(0-9)))-9)	19/44/+609-+-9-
(3-(0-(3*((0*2)+(2+6)))))	30302*26++*--
(((8/6)*9)*((6-(1/(2-9)))+7))	86/9*6129-/-7+*
((2+(1+4))*(8+(7+(3+9))))	214++8739+++*
((9/5)/(6*((1-(3+5))+4)))	95/6135+-4+*/
(((8/(6/5))-1)*(5-(0*(3+5))))	865//1-5035+*-*
(((9-8)/(8-0))-(3+(6-(7/0))))	98-80-/3670/-+-
((0*(2/1))/((7/(3/2))-(1*2)))	021/*732//12*-/
(((6/4)/(9/(4*(0*4))))/2)	64/9404**//2/
(5/((0-((3/1)+0))+(0+(6*8))))	5031/0+-068*++/
((8+5)/(7-(9-(7*(2/4)))))	85+79724/*--/
(((7*(8*5))/(3*(6*6)))+7)	785**366**/7+
(((4*7)-6)/(6-((1/(1+3))/1)))	47*6-6113+/1/-/
((2/3)-(5+(4-(1/(8*3)))))	23/54183*/-+-
((1+(((9/9)/1)*(6/(8-4))))+0)	199/1/684-/*+0+
(((((5/8)+6)-(3+3))*(0+1))+5)	58/6+33+-01+*5+
(((4-((1-5)*6))*6)/(1*(7/2)))	415-6*-6*172/*/
(((8/1)*(3/(1/1)))/(7/3))	81/311//*73//
((8+((8+8)+(1/7)))-(9/7))	888+17/++97/-
((0-(7-(9/(8-7))))*(2+5))	07987-/--25+*
((8-3)/(6*((8+8)-(3-(8-6)))))	83-688+386---*/
(((3/(6-6))/(7/(0*7)))/(4+2))	366-/707*//42+/
(((5/(5-6))-(7/4))*(0/3))	556-/74/-03/*
((9*(0/0))-(0-(4/(2*(6+9)))))	900/*04269+*/--
((8/(3-0))-(3-(9/(7*4))))	830-/3974*/--
((9+4)/(((7*(2/6))+(1/1))/4))	94+726/*11/+4//
(((7-(0/7))/(0+8))*(0-(7*9)))	707/-08+/079*-*
((((0/9)-(1/(2/3)))+2)*1)	09/123//-2+1*
(((9-9)*1)/((5/4)+(5-(7-3))))	99-1*54/573--+/
(((8-6)*(9-(7/6)))+(2*(0*5)))	86-976/-*205**+
(5/(((4*(6/9))-4)*(8+(3+2))))	5469/*4-832++*/
(((7-(2-6))/1)+((9/2)/(5-9)))	726--1/92/59-/+
((3-(4/8))*(3+(6-(3*6))))	348/-3636*-+*
((7*(2-(4-(9+3))))-(0+5))	72493+--*05+-
((2*(1-8))*(0+(2+(1-9))))	218-*0219-++*
((4+(3*6))*(1*((2/4)/(8*3))))	436*+124/83*/**
(((0+3)/(3+3))+(0*(0-7)))	03+33+/007-*+
(4/((4*((8-3)-9))+(0*7)))	4483-9-*07*+/
(6+(((2+6)*8)+(6*(8*(0-7)))))	626+8*6807-**++
((9/0)/((2+6)-((6/6)/(9+9))))	90/26+66/99+/-/
(((8*(6+4))-(7+(1+9)))/7)	864+*719++-7/
(3-(((4-8)*(3*(3+8)))-(7+4)))	348-338+**74+--
((((6/6)-5)*(6*(2/(2-6))))+4)	66/5-6226-/**4+
((6*(6-0))-(9*(9-(5-(2/1)))))	660-*99521/--*-
((1-((0+4)/3))/(3*(2-(4-0))))	104+3/-3240--*/
(4/((0*1)*(8-((2-7)-(8+7)))))	401*827-87+--*/
((((6/2)/1)+6)/(9+(7+2)))	62/1/6+972++/
((0-(4-(4*((2-7)-(5-9)))))*8)	04427-59--*--8*
(((7-(6+6))*(5*4))+(1+2))	766+-54**12++
(((7/(9-2))/(7*0))-(8+(4+6)))	792-/70*/846++-
((8+(1-(7-(4/(6*9)))))+(7+2))	817469*/--+72++
(((0/1)-(9*(1+5)))/(6*5))	01/915+*-65*/
((2-5)*((9+(2+2))+(6+3)))	25-922++63++*
((4*(8-4))*(1*(3-(1-9))))	484-*1319--**
((0-(6+5))+(9/(1-(2-(9+5)))))	065+-91295+--/+
((0*(2*0))-(8-(5+(6-(1/7)))))	020**85617/-+--
(8/((5+(7/(1-8)))+(9/3)))	85718-/+93/+/
(((0*(8+9))/1)+(8-(4/(2-0))))	089+*1/8420-/-+
(3/((6*(0-(5/(1+5))))/9))	360515+/-*9//
((1+1)+((4-(0*5))+(7+9)))	11+405*-79+++
(((5/8)/(4-(1/2)))-(8+(7+9)))	58/412/-/879++-
((7+(5-3))+(1-(1-(1*1))))	753-+1111*--+
((((6+4)+6)/8)+(2+(7+(1/3))))	64+6+8/2713/+++
((((5/7)-(1-0))*(1+9))/(6/2))	57/10--19+*62//
(((3-5)-2)*((3+2)*(7+0)))	35-2-32+70+**
((4/9)*(9*(3-(0/(6*8)))))	49/93068*/-**
((3-3)*(5/((0*5)/(4-2))))	33-505*42-//*
((1/1)*(3*((4-4)-(3/7))))	11/344-37/-**
((1*6)*((6+(3+(5/2)))*0))	16*6352/++0**
((((4-2)*(7/4))-(3*(7/4)))+7)	42-74/*374/*-7+
(((4*5)+((0*1)/(1/0)))*3)	45*01*10//+3*
((((5-6)*9)*(8*(5*(6*3))))/9)	56-9*8563****9/
((4*(1+(0+(9/6))))+((7/9)*1))	41096/++*79/1*+
((((1/4)+6)+(6-((5*2)*6)))+2)	14/6+652*6*-+2+
((((7+1)-3)+5)+(6+(4+(7*8))))	71+3-5+6478*+++
((4-7)*((8-2)+(4-(8+3))))	47-82-483+-+*
((((5/2)-(1/6))+9)+(9*(1+7)))	52/16/-9+917+*+
(((6/9)-(7+3))/(0+(3-6)))	69/73+-036-+/
(((1/(8/(3*6)))-(6/5))/(5+2))	1836*//65/-52+/
((2-0)-(0-(5-(9+(5-7)))))	20-05957-+---
