(((6+4)+6)/(2*2))	64+6+22*/
((9*(4/6))/(6*5))	946/*65*/
(((5/8)/2)*(2-6))	58/2/26-*
((5+((2/3)-9))-1)	523/9-+1-
((2-(4-0))/(6*4))	240--64*/
(((1*1)+9)-(5-7))	11*9+57--
((9/(6+4))/(8*0))	964+/80*/
(9*((9/6)+(0-9)))	996/09-+*
(0-(1+(6/(3*7))))	01637*/+-
(2-(3/((2-9)+6)))	2329-6+/-
(5/((0-0)*(6+1)))	500-61+*/
((5+(7-8))-(8*1))	578-+81*-
((9*2)-(2+(6+2)))	92*262++-
(0/((4/(2+3))-2))	0423+/2-/
((9*(3+8))+(8/3))	938+*83/+
((5+(1/(6*2)))/4)	5162*/+4/
((7/0)+(2-(8+8)))	70/288+-+
((9/(3-3))*(5+6))	933-/56+*
(0/(0*(6*(8+7))))	00687+**/
(((6*0)-8)/(0/3))	60*8-03//
(2+(5-(3-(2*3))))	25323*--+
(((7-(9+9))/5)/0)	799+-5/0/
((2*(8*(9*5)))-2)	2895***2-
((4+9)*(7-(4-7)))	49+747--*
((0+0)+(0/(8+4)))	00+084+/+
((9+(1+3))-(4/5))	913++45/-
(((4+3)-9)-(7+9))	43+9-79+-
((6-6)-((8/1)+5))	66-81/5+-
(9-(4*(7*(0*3))))	94703***-
((8-4)*(1-(2*5)))	84-125*-*
(((7*5)/8)-(1-3))	75*8/13--
(7/(2+(2-(7+9))))	72279+-+/
((1*(7*7))-(3+1))	177**31+-
((7-(3-8))+(2/0))	738--20/+
(2+(9*(5+(3-4))))	29534-+*+
(((5/(9-4))+9)+8)	594-/9+8+
((3*(0-(2+3)))*2)	3023+-*2*
((9/3)*(8/(9-4)))	93/894-/*
((5+6)-(9-(0-7)))	56+907---
((((7-2)-6)+3)+5)	72-6-3+5+
(8*(6/(6+(5/4))))	86654/+/*
((5*(6/6))-(1*3))	566/*13*-
(1*((1+5)/(2+6)))	115+26+/*
((7/(6*1))/(9-8))	761*/98-/
(7+(2/((5/7)-9)))	7257/9-/+
(1-(9*((5/3)/2)))	1953/2/*-
((5/(0/8))-(9+4))	508//94+-
((6+1)+((9+7)*5))	61+97+5*+
((7*8)*(1*(6-7)))	78*167-**
((9+7)+(3-(6+0)))	97+360+-+
((6+(8+(8+8)))/6)	6888+++6/
((2*6)*(0*(8/1)))	26*081/**
((6*5)/(3+(6+4)))	65*364++/
(((4*1)/(2/8))-2)	41*28//2-
((7/8)/(9/(8+8)))	78/988+//
(9*(8/((3/3)-5)))	9833/5-/*
((0+8)/((1-7)-0))	08+17-0-/
(4*(1+(5-(9/1))))	41591/-+*
(1*(6*(8+(5+8))))	16858++**
(((9/9)/4)*(1*0))	99/4/10**
((5+0)-(2*(2-4)))	50+224-*-
((2*9)-(7/(6-7)))	29*767-/-
(1*(2+(3/(4+7))))	12347+/+*
(0-((4+(9-2))/6))	0492-+6/-
(((6+1)*(2+2))+7)	61+22+*7+
(6+((3-(4-5))-8))	6345--8-+
(3+(8/(7/(4-7))))	38747-//+
((5*6)+(9+(6/4)))	56*964/++
((9+(4+4))/(3-1))	944++31-/
((4-0)+(1+(2+6)))	40-126+++
(((4*5)/8)*(5*5))	45*8/55**
((1/(0/5))+(8-7))	105//87-+
(6-(8+(2*(8+7))))	68287+*+-
((1/(8+9))-(6+2))	189+/62+-
((5+2)*(2/(1/8)))	52+218//*
((0/3)+(1/(8-5)))	03/185-/+
((7*7)+(4+(4*5)))	77*445*++
(9+(2*((0-2)+2)))	9202-2+*+
((7+9)/(2+(0/7)))	79+207/+/
(0-((5/(5*1))*7))	0551*/7*-
((2+(6-6))/(8/9))	266-+89//
((1/0)-((6+7)*8))	10/67+8*-
((4*(3+1))/(2-5))	431+*25-/
((6/8)/(6+(7*2)))	68/672*+/
(((9/(8*9))-3)-3)	989*/3-3-
((2+0)/(2*(9/7)))	20+297/*/
(6-(3+((9/7)-6)))	6397/6-+-
((0-1)*(3+(0+3)))	01-303++*
((3/3)-(8+(0/8)))	33/808/+-
(4-(3/(3*(7/8))))	43378/*/-
((5-(2-1))-(9-6))	521--96--
((3/6)+(0+(2-4)))	36/024-++
(((7-9)+4)+(2*9))	79-4+29*+
(((6-7)/7)/(3-1))	67-7/31-/
((8+2)/((9+7)*4))	82+97+4*/
((((6*6)-8)-1)/3)	66*8-1-3/
(7*(8+(3-(4/9))))	78349/-+*
((7*(9-8))*(2+1))	798-*21+*
((9*4)*(9*(9-4)))	94*994-**
((7-(0*7))-(2+1))	707*-21+-
((7/1)+(4+(8/2)))	71/482/++
(((4+9)+9)-(9/2))	49+9+92/-
(3-(9-(3+(2-6))))	39326-+--
((4/7)*(4/(1/0)))	47/410//*
((1-(9-6))/(2*2))	196--22*/
((8-0)-(5-(4-1)))	80-541---
((7*9)-(4*(5-2)))	79*452-*-
(5-((8*6)+(2/3)))	586*23/+-
(5*((4-5)+(3/7)))	545-37/+*
((4/(4+5))-(3/5))	445+/35/-
(((6-0)+7)-(9+8))	60-7+98+-
(((6*1)*1)-(2/2))	61*1*22/-
(0/(5-(2+(1*9))))	05219*+-/
((2*(3/9))+(8+3))	239/*83++
(((3*4)-(1+9))*1)	34*19+-1*
((9*3)*(4*(4/9)))	93*449/**
(1/((9-5)/(6-2)))	195-62-//
(((6-3)-5)/(3/9))	63-5-39//
((7*(8+6))*(0*5))	786+*05**
(0/((1/(4*8))*3))	0148*/3*/
(0/(5+(1/(1-3))))	05113-/+/
((0/(9-6))+(4-5))	096-/45-+
(((5*4)-6)+(7-6))	54*6-76-+
(((0+9)-3)*(3/2))	09+3-32/*
(1-(9*(6+(8+5))))	19685++*-
((3+(8-3))+(8-2))	383-+82-+
((3+(6+7))+(1-3))	367++13-+
((9*(1-2))-(8/0))	912-*80/-
(((5-4)*5)-(2*3))	54-5*23*-
(2-(2*(9*(5/0))))	22950/**-
((7*(1+5))+(7*7))	715+*77*+
(((4-4)*1)/(0+6))	44-1*06+/
(7*(2/(9+(5+4))))	72954++/*
(((7-3)/(3+2))+3)	73-32+/3+
(8-(6*(2/(9/2))))	86292//*-
((2*(9+(6/9)))/7)	2969/+*7/
((7+(0+6))+(2*2))	706++22*+
((4-(2*0))-(2/8))	420*-28/-
(1+((6*6)-(7+3)))	166*73+-+
((0*(9+7))/(6/7))	097+*67//
((9/(4*7))/(2*3))	947*/23*/
((6*2)+(3-(5+7)))	62*357+-+
(3/(0-(8+(8+9))))	30889++-/
(((0*7)*2)/(9/1))	07*2*91//
((0*9)/(1*(5+9)))	09*159+*/
(7-(3*(9/(4+8))))	73948+/*-
(((4+4)+3)*(1*7))	44+3+17**
((8/9)/(0+(4/9)))	89/049/+/
(((5-9)-5)+(9+0))	59-5-90++
((5/(3+3))*(3*3))	533+/33**
((3*(2+0))*(6-2))	320+*62-*
((1/1)-(5+(3*8)))	11/538*+-
(9+((3-6)/(3+2)))	936-32+/+
((3/4)+(3/(0/2)))	34/302//+
(3*(3/(3-(9+5))))	33395+-/*
(((2*4)*8)-(8+7))	24*8*87+-
(4*((8*(9/8))/2))	4898/*2/*
((6*(5+(8-2)))/2)	6582-+*2/
((4*(7+(1*4)))-2)	4714*+*2-
((2/(8*(7+9)))/5)	2879+*/5/
(((8*5)/4)-(1/3))	85*4/13/-
(7/(3+(1/(5*9))))	73159*/+/
(((7*2)+(5/9))-4)	72*59/+4-
(0/((8/7)-(9/4)))	087/94/-/
((2*(0/6))/(3-5))	206/*35-/
((2*(9+(7+5)))-3)	2975++*3-
((6*1)-(8+(5+6)))	61*856++-
(((2*2)/0)*(0-1))	22*0/01-*
(((6-1)+0)-(6*0))	61-0+60*-
(((9-(6*6))/5)+4)	966*-5/4+
(7/(2-(0/(0*4))))	72004*/-/
(((0-3)-5)/(7/4))	03-5-74//
(((2*7)/(3/5))-3)	27*35//3-
(2+(2/(0/(8+6))))	22086+//+
((9+(2+(7-6)))+6)	9276-++6+
((5+(2*0))+(2+8))	520*+28++
((4+(1-0))-(8*1))	410-+81*-
(3/(4-(1+(8/5))))	34185/+-/
((3*3)-(6*(2*1)))	33*621**-
((2*(2-6))/(8+7))	226-*87+/
(4/(4+(9/(2-6))))	44926-/+/
((3*(2*2))/(3*4))	322**34*/
((0/(4*4))-(4-7))	044*/47--
((3-6)+(0-(6-6)))	36-066--+
((3+4)+(4/(5+6)))	34+456+/+
((3-(0/4))+(7-8))	304/-78-+
(7/(0-(7/(7-3))))	70773-/-/
(2-(7*(2+(5+3))))	27253++*-
(((0-(8+2))+2)/7)	082+-2+7/
((0/((4+9)*4))/8)	049+4*/8/
((8/0)*(1*(4-1)))	80/141-**
((7-9)-(6/(4+0)))	79-640+/-
((5-(4/4))+(9/0))	544/-90/+
(9*((7-(9/1))*8))	9791/-8**
((9/7)+((4*1)-7))	97/41*7-+
((4*(4+1))*(2/2))	441+*22/*
((7+3)-(6/(1*5)))	73+615*/-
((1-(3*2))/(3*8))	132*-38*/
(3+((5+(5*7))+0))	3557*+0++
((2*(0/5))-(1+4))	205/*14+-
(5+(8-(9/(2*6))))	58926*/-+
((8/(1+(5+3)))*9)	8153++/9*
(6/((1-(1/9))*8))	6119/-8*/
(((6-4)*4)-(1-3))	64-4*13--
((2-(8+(0/5)))/0)	2805/+-0/
((5-(9*(9+6)))/9)	5996+*-9/
((5-6)/(6-(2-0)))	56-620--/
(((4-2)-6)-(5+8))	42-6-58+-
((9+(7*8))/(4/0))	978*+40//
(3-(5/(6+(2+9))))	35629++/-
((2/(4-8))/(3/3))	248-/33//
((1-(4/0))+(7/8))	140/-78/+
((1/6)-(2/(3/3)))	16/233//-
((2*(9*0))+(8+6))	290**86++
((9/4)-(3/(4+6)))	94/346+/-
(((4/9)+(4+0))-8)	49/40++8-
((8/9)*(9-(6+2)))	89/962+-*
((7*(8+8))/(6-4))	788+*64-/
(((3*4)*(6+8))/4)	34*68+*4/
(4/(5+(7+(2*5))))	45725*++/
((1/(6+7))*(9-7))	167+/97-*
(5*((6/7)*(9*2)))	567/92***
((6*1)-(4-(2+3)))	61*423+--
(4/((6-9)*(3*8)))	469-38**/
(8*(1+(6/(2-7))))	81627-/+*
(((8-4)*5)/(7-0))	84-5*70-/
((9+1)-(6+(9-0)))	91+690-+-
((3*(0*(7+1)))/9)	3071+**9/
((4/(1*3))*(9/5))	413*/95/*
(9-((1-9)-(8/5)))	919-85/--
((5-(0*6))*(3-9))	506*-39-*
((1*(2-0))*(0+9))	120-*09+*
((6/1)+(9+(7+3)))	61/973+++
((8-7)+(3+(9*1)))	87-391*++
((3*8)/(0*(2/1)))	38*021/*/
((3-(2-(6-6)))/9)	3266---9/
(5/(9*(1*(6*0))))	59160***/
(((3*2)+(4+1))-5)	32*41++5-
(9-(4/(7/(6*7))))	94767*//-
(((6-6)/(4*1))/0)	66-41*/0/
((7-(6/(7/1)))*4)	7671//-4*
(9*((9+5)*(2+1)))	995+21+**
(0-(3-(1+(4/0))))	03140/+--
((4*((9/9)+4))+8)	499/4+*8+
(((3/1)*(3*3))*2)	31/33**2*
(6+(2+((6/5)+1)))	6265/1+++
((2+4)/(2-(4*3)))	24+243*-/
((6*4)-(7+(2+6)))	64*726++-
((6/(1/4))-(5-4))	614//54--
((5*0)-(0-(7/4)))	50*074/--
((1/(1/7))+(4+1))	117//41++
((2-(6-9))/(0+0))	269--00+/
(((0-0)-9)+(2-0))	00-9-20-+
(((3*2)+(0-0))*6)	32*00-+6*
((2/9)-(7*(7/4)))	29/774/*-
((7-(0*5))-(3*8))	705*-38*-
((6/(2*6))*(2/8))	626*/28/*
(5/(7+(2*(6-3))))	57263-*+/
((6+7)-(0*(7*0)))	67+070**-
((0*(1+1))-(9/5))	011+*95/-
((2-(6-1))*(6+8))	261--68+*
((0*(6/3))/(7/2))	063/*72//
((6/(3/6))-(9/9))	636//99/-
(((7/(0*6))-2)+5)	706*/2-5+
((8*5)/(9+(7/5)))	85*975/+/
((5*2)-(8-(4+8)))	52*848+--
(3/(2/((6+7)+6)))	3267+6+//
(7*((9/3)+(4/1)))	793/41/+*
((3-(5-3))/(2*7))	353--27*/
(7-(5*(5+(9+3))))	75593++*-
(2/(3*(1+(7+3))))	23173++*/
(7*(4/((7/5)+7)))	7475/7+/*
((7*4)+(9*(8+2)))	74*982+*+
((5-((0*0)*5))+0)	500*5*-0+
((8-(3/3))+(9-5))	833/-95-+
((2*(6/2))*(4/4))	262/*44/*
(((4-9)/(4/9))+9)	49-49//9+
((7*2)+(3/(0-7)))	72*307-/+
(((5/9)+(2*4))*6)	59/24*+6*
(((5*6)+8)*(7-4))	56*8+74-*
(7/(6+(2-(1/7))))	76217/-+/
((6/(7+0))/(6*1))	670+/61*/
((4/9)/(2-(9+2)))	49/292+-/
((4*(6*3))/(3-1))	463**31-/
((6*(5*3))*(0/9))	653**09/*
(4-(6-(8+(0/5))))	46805/+--
((0-1)/(7/(1+8)))	01-718+//
((4*7)*(7/(5/3)))	47*753//*
(((5-5)-9)-(3-0))	55-9-30--
((5/((5/6)*3))-9)	556/3*/9-
((8-(1*9))/(8-8))	819*-88-/
((6+7)-(9+(1+2)))	67+912++-
((1-(2-0))/(6*4))	120--64*/
(7/((4*3)-(0-8)))	743*08--/
((1-8)*(3-(0*5)))	18-305*-*
((5-(2*3))+(9+2))	523*-92++
((9*(9/2))/(6/7))	992/*67//
(((5+7)/(0-5))+7)	57+05-/7+
((6+(4-(1+0)))/6)	6410+-+6/
((4+(4*(1+6)))*7)	4416+*+7*
(3*(4/(7-(6/2))))	34762/-/*
(7*(1*(4/(2*3))))	71423*/**
(3+((0*3)+(5*9)))	303*59*++
((9-(4+(8-5)))-6)	9485-+-6-
((9*(2-(5*0)))-0)	9250*-*0-
(2-(2*(0/(1+6))))	22016+/*-
(((7+5)/0)-(0*5))	75+0/05*-
((((3+6)+7)-9)+7)	36+7+9-7+
((8/(9*(6-2)))/7)	8962-*/7/
((6+(9/1))/(7*7))	691/+77*/
(2-(1-(2/(3-3))))	21233-/--
((3+7)-(5/(8-8)))	37+588-/-
(((7+9)-(1+0))*2)	79+10+-2*
((((0/5)/2)+7)/0)	05/2/7+0/
(((5-9)+(0/0))*1)	59-00/+1*
(2*(3-(7*(5*0))))	23750**-*
((7/6)*(1-(1-8)))	76/118--*
((7*(2+5))+(7*1))	725+*71*+
((7-(2+2))+(1-0))	722+-10-+
(9+(1+(9/(9*1))))	91991*/++
(((2+2)+1)-(9+2))	22+1+92+-
(((7+1)*(5-1))*5)	71+51-*5*
(1+(1-(1*(0/1))))	11101/*-+
((9/(8+4))*(4*6))	984+/46**
((7+(6-1))*(7+7))	761-+77+*
(((6-1)*(0*3))*4)	61-03**4*
((2+2)+(4-(6*0)))	22+460*-+
(((6/6)-7)/(1/3))	66/7-13//
((8+8)+(3*(2+7)))	88+327+*+
((3+1)-(6-(3+3)))	31+633+--
((5/(6*6))-(3*6))	566*/36*-
((0-4)+(5/(4/6)))	04-546//+
(9*((1-1)/(9-8)))	911-98-/*
((9*1)*(6*(6*4)))	91*664***
((5/7)+(6/(2+6)))	57/626+/+
((1/(7*6))+(9*9))	176*/99*+
(((6+9)+5)-(4*2))	69+5+42*-
(1*(((3*8)/7)*0))	138*7/0**
((2+(1+8))/(7/0))	218++70//
(((9*3)/4)*(1*0))	93*4/10**
(((1+8)-2)/(3+5))	18+2-35+/
(7-(3+(4+(6-8))))	73468-++-
((9-4)-(6*(9/9)))	94-699/*-
((2-1)+(9+(8-1)))	21-981-++
(1*(6/(7*(0-5))))	16705-*/*
(5+((1-7)*(6/1)))	517-61/*+
(((1-9)+6)*(9-4))	19-6+94-*
(5/((3-(1/8))-1))	5318/-1-/
((1-5)-(7-(9/1)))	15-791/--
(((8+1)/9)+(2*5))	81+9/25*+
((6+9)*(8+(5+4)))	69+854++*
(6/(6*((5-0)+2)))	6650-2+*/
((1*(1*7))*(0/7))	117**07/*
(((8-2)*0)/(7*3))	82-0*73*/
((9+((3-1)/8))*3)	931-8/+3*
((4*0)*(0*(2+8)))	40*028+**
((7/0)/(8+(0+3)))	70/803++/
((0*(2*3))*(4-5))	023**45-*
((9/(3-0))-(1/9))	930-/19/-
(0*(6/(7/(3+7))))	06737+//*
((5/6)+(4/(1/1)))	56/411//+
((((9+4)*1)+1)*7)	94+1*1+7*
((0+(1+(9-3)))*2)	0193-++2*
(((1-4)/9)-(2-5))	14-9/25--
((8/(2-9))-(5/4))	829-/54/-
(5-(9-(8*(5-3))))	59853-*--
(4-((9/4)-(9-1)))	494/91---
(6-(5/(8-(6/1))))	65861/-/-
((3+(4/6))-(1-9))	346/+19--
(9/((6+9)/(1-0)))	969+10-//
(5/((0+5)+(3-8)))	505+38-+/
((8/3)+(9-(4-4)))	83/944--+
((0-(2-4))-(2/7))	024--27/-
((((9*9)-0)*9)-8)	99*0-9*8-
(((1/5)+6)/(8*7))	15/6+87*/
((2*(7-0))/(9+8))	270-*98+/
(4+((6*4)+(8+1)))	464*81+++
((3-(1/(4+1)))-6)	3141+/-6-
((8-7)+(3+(6+9)))	87-369+++
(((9+9)/1)+(2+7))	99+1/27++
(3*((1*7)-(8*9)))	317*89*-*
((0/(3+3))*(0*2))	033+/02**
((1-(3-5))/(3/6))	135--36//
((5/3)+(9-(2-2)))	53/922--+
(4+(7+((3+2)+0)))	4732+0+++
(8-((8+0)+(2+4)))	880+24++-
(4-((0-0)-(7/2)))	400-72/--
((3-8)-(1/(7-0)))	38-170-/-
(3+(4/(4/(4-3))))	34443-//+
(1/(0-(0*(8+7))))	10087+*-/
(6/((9/9)/(0+7)))	699/07+//
((9-(5*(7+3)))/4)	9573+*-4/
(9+(4+(6/(0/2))))	94602//++
(((7-5)/(3+4))+7)	75-34+/7+
(((4-3)-(9*5))-1)	43-95*-1-
((7*8)+(8*(0*7)))	78*807**+
((((0-5)*1)*9)/4)	05-1*9*4/
((5-(4*1))*(5+5))	541*-55+*
(5-(9+(2*(3*2))))	59232**+-
((4-7)+(5-(8/0)))	47-580/-+
(((3*5)*2)+(1+7))	35*2*17++
(4-(9/(0-(9/8))))	49098/-/-
(9*(9+(6+(7-7))))	99677-++*
(((7+(7/8))*8)+2)	778/+8*2+
((2-(8+(1*3)))+2)	2813*+-2+
((3+(4+(7-3)))/7)	3473-++7/
(7*((1/(8/5))-8))	7185//8-*
(7+(9-(7/(9-2))))	79792-/-+
(5/((2+9)+(6*9)))	529+69*+/
(((0*9)-(1/4))/0)	09*14/-0/
((5*((6*2)/6))-1)	562*6/*1-
(1*((6*0)+(8-6)))	160*86-+*
((5+8)-(9+(8*9)))	58+989*+-
((8/(7-4))+(1-3))	874-/13-+
(((9+5)*8)+(5*9))	95+8*59*+
(((8+8)-(1-7))+9)	88+17--9+
(3+(4*(8-(4*7))))	34847*-*+
((8-(9/4))+(3*9))	894/-39*+
((4+9)-(6/(4-5)))	49+645-/-
(5*(3+((8*6)+2)))	5386*2++*
((3-7)/(3*(2+8)))	37-328+*/
((3-0)+(1*(7*5)))	30-175**+
((6/4)*(0/(6-9)))	64/069-/*
((3-(5*9))-(9/6))	359*-96/-
((2-2)*(0/(6*9)))	22-069*/*
((7/0)-(2+(2+7)))	70/227++-
(5+((4*8)-(0-9)))	548*09--+
((3-0)*(9/(9+4)))	30-994+/*
(3-((7+5)-(3-7)))	375+37---
(((5/5)/7)-(7-9))	55/7/79--
(((4/0)+(2+3))*7)	40/23++7*
(9+(5+((3-0)-3)))	9530-3-++
((9*(3/(1+0)))/7)	9310+/*7/
((2-8)-(7*(3/2)))	28-732/*-
(4-(1-(9/(3+1))))	41931+/--
(((0*(8/6))*6)*0)	086/*6*0*
(4*(1/(7-(1/3))))	41713/-/*
((5-0)/(3/(1*8)))	50-318*//
(((6-5)-(8+3))*9)	65-83+-9*
(8/(1+(4+(7-3))))	81473-++/
((7-9)+(6-(9/6)))	79-696/-+
(9*(8-(4-(2*5))))	98425*--*
(7+(7*(4/(0/1))))	77401//*+
((4*7)/(7-(5/7)))	47*757/-/
((3+4)*(8*(0+8)))	34+808+**
(9/(9/(5/(6*1))))	99561*///
(2*(8/(1*(6-1))))	28161-*/*
((8-1)+(9*(3+9)))	81-939+*+
((9*9)-(3/(4-3)))	99*343-/-
((1/8)/(8+(7-7)))	18/877-+/
((5-9)-(4*(5+4)))	59-454+*-
(0*((1+(7-0))+4))	0170-+4+*
(7+((9*4)+(6+1)))	794*61+++
((1-2)+(3+(0/9)))	12-309/++
((8*5)*(9/(7/6)))	85*976//*
((5+9)-(0*(7/0)))	59+070/*-
((0*2)*(8-(0+2)))	02*802+-*
(0*(2+(8*(7*9))))	02879**+*
((7-(2+1))+(8-4))	721+-84-+
(1-(6+(0+(1+6))))	16016+++-
((6-6)+(5*(5/2)))	66-552/*+
(1*(6-(0*(2-9))))	16029-*-*
((1*(0/(7+9)))/0)	1079+/*0/
(5+(6+(7/(9-6))))	56796-/++
((4+8)+(7/(0+7)))	48+707+/+
((1/(0-(9-5)))-6)	1095--/6-
((4+4)-(8+(7-6)))	44+876-+-
((9*(5/1))+(6/1))	951/*61/+
((1/(6/2))/(4/8))	162//48//
((2+9)*(1+(7/6)))	29+176/+*
((3-1)/(7/(4*3)))	31-743*//
((6+3)-(3/(5*7)))	63+357*/-
(((0*(2/8))+5)+7)	028/*5+7+
((6*(2*0))/(0-7))	620**07-/
((5/8)+(0/(4/8)))	58/048//+
((9*(0/9))*(5+2))	909/*52+*
(((6/0)*2)*(2+4))	60/2*24+*
(((1-(2-3))/3)/8)	123--3/8/
((1+(8*7))*(3-8))	187*+38-*
((0+0)/((3/9)/2))	00+39/2//
(8*(0-(5-(0-2))))	80502---*
(1-(9-(2*(7+1))))	19271+*--
((5-4)+(8/(0/8)))	54-808//+
(8+(2+(1-(3+1))))	82131+-++
(((0+8)/1)*(0-3))	08+1/03-*
((2-0)/(0-(2-4)))	20-024--/
(7+(6/(3-(0/1))))	76301/-/+
(0-(6/(9-(2+6))))	06926+-/-
((1-3)*(1*(6-4)))	13-164-**
((2/9)+(0+(8+9)))	29/089+++
((4+9)+(2*(5*4)))	49+254**+
((4+7)*(2*(1/1)))	47+211/**
(8+(5+(8*(7*9))))	85879**++
(2+(1+(5+(8*8))))	21588*+++
((9/(9-2))/(2*5))	992-/25*/
((1*(0+4))+(6-8))	104+*68-+
((2*6)/(9*(9*1)))	26*991**/
(0+(((0/4)+6)+1))	004/6+1++
(((6-9)/3)*(8+9))	69-3/89+*
((2+(6*1))-(0/9))	261*+09/-
(8+(9*(0*(5-8))))	89058-**+
((1+3)/(3-(8+6)))	13+386+-/
(((0+1)-(9/5))-7)	01+95/-7-
(((1/1)+5)-(9-5))	11/5+95--
(7-(8+(8*(6/7))))	78867/*+-
(7*(0-(9/(4/3))))	70943//-*
((2/8)-(5/(2*7)))	28/527*/-
(1-((0*(7-6))*8))	1076-*8*-
(7+((6+2)/(9+3)))	762+93+/+
((6*2)-(3/(4*9)))	62*349*/-
(3-(2+((3/0)+5)))	3230/5++-
((4-(4-6))-(1-0))	446--10--
((6+1)+(6+(1/2)))	61+612/++
(8-(6/(1/(4+0))))	86140+//-
(((5-2)/(6*5))*8)	52-65*/8*
