((((5*1)*(1/3))+6)/(0-(3/(3/(9/2)))))	51*13/*6+03392///-/
(((1/6)+(2/(0+(3/2))))-(2/(1*(0+2))))	16/2032/+/+2102+*/-
(((8+0)-((9+(1*4))-(5+(0-6))))*(9*3))	80+914*+506-+--93**
((8*((9-(9/5))-(9*(1/(1+(6*1))))))/9)	8995/-91161*+/*-*9/
(((3*(2-(4+4)))*(6*(9*(1-(9-9)))))*5)	3244+-*69199--***5*
((3-(8/(3+(2+2))))*(7*((2*4)-(1/1))))	38322++/-724*11/-**
((4*((2*((0*6)/8))-(1+1)))*(5*(7+3)))	4206*8/*11+-*573+**
(((4*(8/7))/8)+(7-(3+(1/(9+(3*4))))))	487/*8/731934*+/+-+
((((2/1)-8)*(3*(9-(1/7))))-(9/(3-9)))	21/8-3917/-**939-/-
(((9/(6/(7+9)))-(1-3))-(3+(2*(1*1))))	9679+//13--3211**+-
((((6-7)+8)-(3-(8+2)))/(9-(1-(5/1))))	67-8+382+--9151/--/
(((((2/6)*4)/5)-(8/2))*(0/(6*(6-1))))	26/4*5/82/-0661-*/*
(((1*8)/7)/(7*(((0-5)-(8-(4-1)))+6)))	18*7/705-841---6+*/
((1/(9+4))*((9+(8+8))-(5/(6*(3*8)))))	194+/988++5638**/-*
((6+((8+(0-(5*1)))-(4-(6*8))))-(2-7))	68051*-+468*--+27--
((9/(4*(7+6)))*(3/(2/(3/(2-(8*6))))))	9476+*/323286*-///*
((((1-0)*(5*5))/(0+(0*9)))*(7+(7*0)))	10-55**009*+/770*+*
((8-(6/(0*(1-1))))+(3/(0/(2/(8-3)))))	86011-*/-30283-///+
(((5-((8/(2-1))+(9*7)))*(6-9))-(0*7))	5821-/97*+-69-*07*-
((((9*(4/(3/5)))-3)-(1+5))*(3*(5-7)))	9435//*3-15+-357-**
((6*(2/7))*((8-(7/(8+(6/4))))*(3*0)))	627/*87864/+/-30***
((((1+((1/8)*(6-6)))/0)-0)+(5-(5-4)))	118/66-*+0/0-554--+
(8+((2*((2*8)*(1/9)))+(4+(0*(9-6)))))	8228*19/**4096-*+++
(((8+(0+(2*(6-1))))*(9-3))+(1*(0-6)))	80261-*++93-*106-*+
(((9+(0*(2+0)))/(1-6))/(3*(0*(9/2))))	9020+*+16-/3092/**/
(4/((7/((7*4)-(7+(9/(7-8)))))-(4-0)))	4774*7978-/+-/40--/
(((1*(1/3))-((0*(8/9))*(3*(4+9))))*3)	113/*089/*349+**-3*
(((0*3)-(0*9))/(4/(5/(2*(1-(9*8))))))	03*09*-452198*-*///
((9-((4*(5-(5-3)))-(6*(2-3))))*(7+5))	94553--*623-*--75+*
(6*((((2-(4*7))*7)*7)/(3+(7+(8/8)))))	6247*-7*7*3788/++/*
(((0/(3*(2/1)))*(0/(4*6)))-(6/(4+2)))	0321/*/046*/*642+/-
((0-(5+0))-(9+(0+((9*4)/(1-(9/8))))))	050+-9094*198/-/++-
((((0+6)+(4-(3-7)))*(8/(5/(3*8))))-3)	06+437--+8538*//*3-
((((5*(8-7))*(8-1))-(9*(3*4)))-(1/3))	587-*81-*934**-13/-
((((3*(4/1))*8)*2)-(5*(6/(6/(0/0)))))	341/*8*2*56600///*-
((((9+9)/(3+(9-6)))-(8+2))+(8+(0-6)))	99+396-+/82+-806-++
((((3/(7-(5+8)))/0)/8)/(6*(5*(9/1))))	3758+-/0/8/6591/**/
((7/(4+(3-6)))*((7+(4-2))*(6+(0+7))))	7436-+/742-+607++**
((2/(((0/(7*4))-3)+3))+(7-(4/(7*8))))	2074*/3-3+/7478*/-+
(((((3*6)+(3+0))-6)+(1/(1*(3/1))))*3)	36*30++6-1131/*/+3*
(((0*(7-6))-(7+2))-(5/(6-(2+(3+1)))))	076-*72+-56231++-/-
((9-(5*(9-(5-(4*(7+9))))))+(6/(5*3)))	9595479+*--*-653*/+
(((7*(7-(4+1)))*(6*((5/7)/8)))*(3-7))	7741+-*657/8/**37-*
((((9+8)/(4*3))/(0-(8-4)))-(4/(2*7)))	98+43*/084--/427*/-
(3-((5/(5-(1+(2*(8-4)))))-(4*(7*0))))	3551284-*+-/470**--
((((7-(4/8))+2)+((8/0)+(4/(9/4))))*0)	748/-2+80/494//++0*
((7+1)*((8/((3-(9*1))-(3*9)))-(4/2)))	71+8391*-39*-/42/-*
((8-(7/(7+3)))*(5+(9+((5/7)/(8+1)))))	8773+/-5957/81+/++*
((((7/2)+(2/(9*(7-4))))-(4/(8*5)))/4)	72/2974-*/+485*/-4/
(((9-(8/5))+(5-(8-(1/(7-(0-1))))))*5)	985/-581701--/--+5*
(((8*(0*(8+(9/6))))*(2/0))+(2*(2-4)))	80896/+**20/*224-*+
(((9+5)+(0*7))/(4-(5*(1*(6-(3-4))))))	95+07*+451634--**-/
(((((3*2)-(8-6))+9)+(9-0))-(9/(7*1)))	32*86--9+90-+971*/-
((((0*(2-0))-2)-((2/(6-5))+0))+(2-7))	020-*2-265-/0+-27-+
((((9+4)+8)-((0*(6*1))+(7-(4-1))))-6)	94+8+061**741--+-6-
(((3-(7-(2-(2/9))))-(6/(9/(3*5))))-2)	37229/---6935*//-2-
((((0-2)/(5+(6/(2-5))))-(5/5))+(9*5))	02-5625-/+/55/-95*+
((((9/(2/0))/9)/(5-((5+0)/(7*9))))-1)	920//9/550+79*/-/1-
(9/((2/(0/3))*(5+((4+5)-(4*(7/5))))))	9203//545+475/*-+*/
(6+(((2*(8+8))/6)*(5/((7*3)-(6*4)))))	6288+*6/573*64*-/*+
(((((5/0)+(5*4))-5)*(9/(9-7)))/(2+9))	50/54*+5-997-/*29+/
(2*(((5*9)+(2-9))/(7-(7*(4+(0*6))))))	259*29-+77406*+*-/*
(((5+(4-1))*(6*(7+(2-7))))-(7*(5*5)))	541-+6727-+**755**-
(((((4/(9*3))-7)-(5*0))/(9*6))-(6-5))	493*/7-50*-96*/65--
(((0*(8*8))-(7/4))/(6/(3*(3/(0*9)))))	088**74/-63309*/*//
((((6+4)/(1/(0/(6-3))))+(9+(5+1)))/5)	64+1063-///951+++5/
((((5/(7/4))*8)/(6/(5*1)))+(1-(4+2)))	574//8*651*//142+-+
((9-(1*(5*3)))-(8+(4*((7+(2+4))*8))))	9153**-84724++8**+-
((1/((3/(0/(8/(9/5))))+9))*(1/(7+5)))	130895////9+/175+/*
((3-((((8+(2-7))+6)+0)+(5-(4*6))))*9)	3827-+6+0+546*-+-9*
(((8/(4*(5/1)))-(9-(3-1)))-(3-(4*3)))	8451/*/931---343*--
(((1/(6/0))*(8+(6*6)))-(6-(5+(5*4))))	160//866*+*6554*+--
(((9/(3-1))-(7/8))*((6*(3-5))/(9*0)))	931-/78/-635-*90*/*
((((2*4)*(2*8))-(7+(6+(5-9))))*(5+6))	24*28**7659-++-56+*
(((5*(6/5))*((9+(9/2))/(4/(7/6))))-5)	565/*992/+476///*5-
(0/(0/((8*(9/(6+8)))-(8+(7-(3+1))))))	008968+/*8731+-+-//
((((8/5)*(7/(9+(7*6))))-(7*1))+(7+0))	85/7976*+/*71*-70++
(((9/3)+(6*(9*(7+0))))+(1-(1/(4/1))))	93/6970+**+1141//-+
((((8-(9+(7-0)))*(0*9))+(9/(7-3)))-6)	8970-+-09**973-/+6-
(((6*((2/0)*(5/5)))+(0/(8-6)))+(2*9))	620/55/**086-/+29*+
(((4-(6+(0+4)))*(1*(5+(7/5))))*(4*5))	4604++-1575/+**45**
(((6/(5+3))*(3*(3-2)))-(8-(6/(5-5))))	653+/332-**8655-/--
((0-(7+(6-4)))*(1-(0*(0+(2-(2-6))))))	0764-+-100226--+*-*
(((7-1)-(((2/(4*(2+4)))/(5-8))-8))*6)	71-2424+*/58-/8--6*
(((((1/(1/4))-7)*(7+6))*(1*(5-0)))/5)	114//7-76+*150-**5/
(((5-0)-(3*5))-(7*((2*(1*6))-(8*2))))	50-35*-7216**82*-*-
((((9+(3/0))-(5*(3/4)))-(9+8))-(7+8))	930/+534/*-98+-78+-
(((8*(8+(5/3)))*(4/(0+5)))/(7+(8/5)))	8853/+*405+/*785/+/
((7*(((1-6)/(7+2))*0))-(3+(2+(4-4))))	716-72+/0**3244-++-
(((2*(4/9))+(0/5))/(4-(9/(1/(5/2)))))	249/*05/+49152///-/
((7/(7-(2-(2/0))))-(3-((8/(0-7))+9)))	77220/--/3807-/9+--
((((4*2)*7)+(3-9))*(7/(5-(8-(7*5)))))	42*7*39-+75875*--/*
(((((3-6)*(4/5))-(1-(3+(9+4))))/7)+2)	36-45/*1394++--7/2+
((0/(9-((4/2)+(0+1))))+(3*(0-(9/5))))	0942/01++-/3095/-*+
((2*2)+((2-(5/2))-(0*(8/(5-(0/9))))))	22*252/-08509/-/*-+
(((7*(1+0))-(8+((1-0)/(8/6))))/(1+8))	710+*810-86//+-18+/
((((1+(6*(7+1)))*2)+(1/9))-(7-(1-3)))	1671+*+2*19/+713---
(((6*0)*(7*6))/((8/4)-(7+(8/(2/8)))))	60*76**84/7828//+-/
(((8+9)-(0+((1*(5/8))*(5/7))))*(7*0))	89+0158/*57/*+-70**
(((7-(2/(1/(6*5))))/(5*5))/(9*(7+9)))	72165*//-55*/979+*/
((6/(0*(6*4)))+(6-((2/(8-8))+(3-5))))	6064**/6288-/35-+-+
((4+(0-(((7*(1-5))/(6+3))*(4/6))))+1)	40715-*63+/46/*-+1+
(7*((1+((3-(4-(9-6)))/(7+1)))-(3+2)))	713496---71+/+32+-*
(((6+0)-(7/(4+7)))-(9-((0-(5*9))*3)))	60+747+/-9059*-3*--
(((7-(7+2))*(8+(9*9)))+(8-((8/7)*9)))	772+-899*+*887/9*-+
(((0/4)-(8*(4*(1-8))))+(3+(7*(9*8))))	04/8418-**-3798**++
((((0*(2+7))-2)/(8+(8+7)))-(9*(7-3)))	027+*2-887++/973-*-
(((7+8)+(9-(2+7)))*(9+(4-(8-(1+0)))))	78+927+-+94810+--+*
(0/((9-3)+(2+(((0-8)-2)+(6-(2+4))))))	093-208-2-624+-+++/
(((2-(4/1))/(7/(0*(1*4))))+(8-(2/4)))	241/-7014**//824/-+
(7/(2*(8+((0*9)/(6+(9+(0+(4-9))))))))	72809*69049-+++/+*/
(((4+(2*9))+9)+(8/(((4*(4*3))+5)-1)))	429*+9+8443**5+1-/+
((((1*(7+8))+(3+(6/7)))+(9*0))-(0+0))	178+*367/++90*+00+-
(((6/(1-(3+6)))-(6*(8-(5-7))))-(7*8))	6136+-/6857--*-78*-
(((8+0)-(6-(7/(1*(4*2)))))*(8+(7*5)))	80+67142**/--875*+*
(((9-8)*(4*(0*3)))+(7/(4*(3/(8*6)))))	98-403***74386*/*/+
((8/((3*(2/0))-4))-(6-(8-(8/(5/2)))))	8320/*4-/68852//---
(((5/((2*6)/7))*(5/7))-(5/(8*(4+8))))	526*7//57/*5848+*/-
(((3-1)*0)/(1*((0/(1*2))-(3+(4*9)))))	31-0*1012*/349*+-*/
((((9/8)-((9+5)+2))/(9/2))*(1/(4*9)))	98/95+2+-92//149*/*
(((9-(0*(3/1)))*(0/8))/(1-(0+(0*5))))	9031/*-08/*1005*+-/
((((1+2)/8)/(4/(6/2)))+(7+(5+(6*8))))	12+8/462///7568*+++
((((9+5)+9)*(9/(4+(8+(5+0)))))/(8/2))	95+9+94850+++/*82//
(((9*(3+((1/9)-0)))+7)-(1/(5*(7*4))))	9319/0-+*7+1574**/-
(((2+(8-3))/((4+(1/1))*(7*(9-1))))+0)	283-+411/+791-**/0+
(8/(((3+9)*0)/(6-(6/(7*(1-(8*0)))))))	839+0*667180*-*/-//
(((2+6)+((0+(8/(8/4)))+(3*0)))*(9/8))	26+0884//+30*++98/*
((((1*1)*(8-0))/(8+(1+4)))-(2/(9+5)))	11*80-*814++/295+/-
((9*1)*((8+(2-((6+(0/8))-6)))/(0/5)))	91*82608/+6--+05//*
((3-(1-6))*(6+((1-9)/(0*(1*(5*3))))))	316--619-0153***/+*
((0+7)-((8-(0*(8+(6-7))))-(4+(6*4))))	07+80867-+*-464*+--
((((4+3)*(0-8))/(7*5))-(7/(7/(1/0))))	43+08-*75*/7710///-
(((7*((0+8)*(5+(5*7))))*1)*(6/(4-6)))	708+557*+**1*646-/*
((((6*2)-(3+(6/7)))+(2*7))*(0+(9+2)))	62*367/+-27*+092++*
((5*(1/(4*7)))+((2-3)*(4/(1*(5*4)))))	5147*/*23-4154**/*+
((((1*5)+(0/3))-(6*(4/3)))+(3*(7+8)))	15*03/+643/*-378+*+
((((1*(0*4))*(1+1))+9)/(2*(0-(0*0))))	104**11+*9+2000*-*/
(5+(((2/7)+(1-3))-(7-(6+((6-0)*9)))))	527/13-+7660-9*+--+
((7-(7/7))/(7+(4*(5/(7-(7/(4*8)))))))	777/-7457748*/-/*+/
((((5+8)*(0*2))+(9/((4-9)*(7*0))))+3)	58+02**949-70**/+3+
(((4*7)/5)-((9*(6*((0-3)/6)))*(7/4)))	47*5/9603-6/**74/*-
(((9*(0+(8+6)))/(3-(6*(7*(0+7)))))*3)	9086++*36707+**-/3*
((9/((5/8)/4))*(7/(8+(9-(5+(2/2))))))	958/4//789522/+-+/*
(0+((((6-(2+8))-(7*0))+4)-(4+(6+6))))	0628+-70*-4+466++-+
((0+((5-(6/(0-5)))-0))/(7+(0/(9+6))))	05605-/-0-+7096+/+/
(((5*3)/(5-(8+3)))-(0+(8+(7/(2*7)))))	53*583+-/08727*/++-
(((8+(7+(1-(4*3))))+(0/9))*(8-(1*5)))	87143*-++09/+815*-*
((((5/8)-(4-(6-(0+0))))-(6+0))/(8*1))	58/4600+---60+-81*/
(((((7/7)-2)*(6-(6+(0+2))))/(2-2))-0)	77/2-6602++-*22-/0-
((9+(6*(1*(7/(5-(0-3))))))+(4*(7-8)))	9617503--/**+478-*+
((((5/0)+(6/3))/(6*(4+1)))+(5-(5-7)))	50/63/+641+*/557--+
((9*(9*(5*2)))+(0*(2-(8-(4+(8+9))))))	9952***028489++--*+
(5-(0/(((3/(9*1))/(9*(1*1)))+(4-9))))	50391*/911**/49-+/-
(((((1-(2*5))+(9*5))/4)*(2-(3/7)))/3)	125*-95*+4/237/-*3/
((1*(0/((7+(3-3))-(7-3))))/(6-(2+0)))	10733-+73--/*620+-/
((5-3)/((5*((6/(5+6))+(3+8)))/(2+1)))	53-5656+/38++*21+//
(0*((5/(9/9))-(0/(((7/9)*(0*4))+9))))	0599//079/04**9+/-*
((9/(5/(1/(5-2))))+(7*(0-(0*(2*3)))))	95152-///70023**-*+
(((2/(8*(3*((4-5)*6))))-(0+(5+1)))*9)	28345-6***/051++-9*
((5+(7*9))/(8*((2*(9*(3+2)))/(0/4))))	579*+82932+**04//*/
(((7+(4-((1*9)/(3/(3-6)))))+9)*(7/6))	7419*336-//-+9+76/*
((((6-3)+((2+(1+6))-9))*(9/(1*2)))/4)	63-216++9-+912*/*4/
(((8-(6*4))*(4/(7*3)))-(6+(8+(8*0))))	864*-473*/*6880*++-
((3*(9+(9*(9/(5/1)))))-(4/(2/(8+7))))	399951//*+*4287+//-
((((4+((4-0)-4))/(2*(7*7)))/(4*7))-8)	440-4-+277**/47*/8-
((1*(8-8))*((8*(3+(2+(7+0))))-(6/8)))	188-*83270+++*68/-*
(((((7+(7+1))*3)/(1+(4*7)))/(5*4))+5)	771++3*147*+/54*/5+
(2*(4*(((8+(4/0))/(9-7))/(0+(0-9)))))	24840/+97-/009-+/**
(((4-((1*7)*(2-3)))/(9*(1-3)))*(2/4))	417*23-*-913-*/24/*
((((0+(2-7))*(4*(7-2)))/(1-(9/1)))-7)	027-+472-**191/-/7-
(((9-8)-5)/((6-(8*7))+(0/(8-(8-4)))))	98-5-687*-0884--/+/
((7+(0+((1+(1-6))-(2*((3-1)-2)))))*7)	70116-+231-2-*-++7*
(((2+(1*4))*7)*(4/(5-(3/(3/(6-8))))))	214*+7*453368-//-/*
(((9*(9-7))/(5+(3/(1+5))))-(4/(7*5)))	997-*5315+/+/475*/-
((((6*(6-1))/(1-3))-8)*(6*(8+(3-0))))	661-*13-/8-6830-+**
(5-(((2-(5+2))-(2+8))/(6/(6/(2/6)))))	5252+-28+-6626////-
((7+((8*(6*0))/(6/6)))+(7+((0/3)*8)))	7860**66//+703/8*++
(((3*(2-(4/(8-4))))*1)*(8*(3+(2/0))))	32484-/-*1*8320/+**
(((3*7)-(3+1))*(8+((9/8)/(4-(3+7)))))	37*31+-898/437+-/+*
((8+(0-1))*(7/(8/(7*(7+(5/(1-4)))))))	801-+7877514-/+*//*
(((5+8)-(0-((0+(8+1))+0)))+(3*(9+8)))	58+0081++0+--398+*+
(((7/6)/(2*(5/4)))+((1/(3+6))-(5/1)))	76/254/*/136+/51/-+
(((3*(6*6))-(0+7))/(9/((9-(3-2))*1)))	366**07+-9932--1*//
((5/((1*(1*(9-2)))-(5-6)))/(8+(4/4)))	51192-**56--/844/+/
((7-(8+6))+((4-(7/3))-(8+(0*(2/9)))))	786+-473/-8029/*+-+
((((4-5)-8)/((1-(8+(2+(4*2))))*5))/1)	45-8-18242*++-5*/1/
(((4+(2-2))*(5+9))-(2*((0*(2-5))*4)))	422-+59+*2025-*4**-
(1/((8*6)*(6-((7+(5/(6*3)))/(2+3)))))	186*67563*/+23+/-*/
((((0*(7+0))*(0*4))+(1+8))-(5+(5/9)))	070+*04**18++559/+-
(((((7/4)+((6-9)+(3/6)))-(6+3))*8)+2)	74/69-36/++63+-8*2+
(1-((6-(1*2))-((5*(9/3))/(5-(6+3)))))	1612*-593/*563+-/--
(2+(((8+3)-(8*(8*(5-(4/6)))))+(3+4)))	283+88546/-**-34+++
((((3+(3/7))/(0*(2+3)))+(5+(4*9)))-7)	337/+023+*/549*++7-
(((5+3)-(4*(9*6)))*(2-(0+(0*(7/4)))))	53+496**-20074/*+-*
((((3/(9*8))/0)+(2+(2+9)))-(8+(9/9)))	398*/0/229+++899/+-
(((1/(0+(0-(9/(4+5)))))/(7-(9+3)))/9)	100945+/-+/793+-/9/
((((1+9)+(2-(1*(5-6))))+(3/0))+(2/0))	19+2156-*-+30/+20/+
((((2*(4-(2*9)))/(3/4))/(2+(5*8)))/9)	2429*-*34//258*+/9/
((7-2)-((2/(2*(0*2)))*(2*(8+(0-3)))))	72-2202**/2803-+**-
((((1/(9-(4*1)))*5)-(1+0))+(7+(6/2)))	1941*-/5*10+-762/++
((5+(8-(1*0)))-((7/(0-(8*8)))-(8*6)))	5810*-+7088*-/86*--
((((6+(6+1))+(2-(9*5)))+8)/(5-(4+1)))	661++295*-+8+541+-/
(((8-0)/((8-(6*4))+(1-(0/6))))*(6+6))	80-864*-106/-+/66+*
((((7/3)+(8/(8/4)))+(0*2))/(3*(7-0)))	73/884//+02*+370-*/
(((1*(2+(4/3)))/2)-(1/(7*(0+(6-2)))))	1243/+*2/17062-+*/-
(((4*6)*(4+(2/(7-5))))-(8/(0-(8*8))))	46*4275-/+*8088*-/-
((((9*(6-6))*0)-(6/(1+0)))+(9-(4/1)))	966-*0*610+/-941/-+
(((7*8)+(4-(9-(6-0))))*(5/(4-(5-1))))	78*4960---+5451--/*
(((6/(6-(7*5)))+(7+1))/(2-(2+(9+2))))	6675*-/71++2292++-/
((4*((3/5)-(3+(6/(3*(5*9))))))+(9/2))	435/36359**/+-*92/+
(2+((5*(1/3))/(7/(9/((7*2)-(5*8))))))	2513/*7972*58*-///+
(((5-5)*((2*((6/4)/6))/(3*(3/1))))*3)	55-264/6/*331/*/*3*
((((9-3)+(2+8))-(5*(0+6)))+(5-(2+7)))	93-28++506+*-527+-+
((6/((5*(9/2))/(6/5)))-(5*((0*6)/3)))	6592/*65///506*3/*-
((1*(8/4))*(5+((7*(7*5))/(8-(4/0)))))	184/*5775**840/-/+*
((1+(4*8))/(4/((9+(7+(5/5)))*(5+3))))	148*+49755/++53+*//
((4*7)-((6+((8-7)*(6*(2-7))))+(2-5)))	47*687-627-**+25-+-
((3+(4/(4/(5-9))))+(7-(7+(0/(4/7)))))	34459-//+77047//+-+
((((4+7)*(8*(4/(1+(6*6)))))+(5-0))+0)	47+84166*+/**50-+0+
(((8*(8-(0-(8-9))))*((4*5)-(9-2)))*3)	88089---*45*92--*3*
((9-(3+4))/(6-(8+(7+(7-(8+(5*5)))))))	934+-6877855*+-++-/
((((8*0)/(2*1))/(1+(3*5)))*(5+(6*0)))	80*21*/135*+/560*+*
((((1+(0*0))*(4/7))-(8/(4+(0-0))))/4)	100*+47/*8400-+/-4/
((5/(6*8))+((3*(1+(5+(8/7))))*(8+3)))	568*/31587/++*83+*+
((((7*(0/8))+((0+8)/7))*(2-(1*6)))-6)	708/*08+7/+216*-*6-
(((3+3)/(7+(1/((1/1)*5))))/(5-(4+2)))	33+7111/5*/+/542+-/
(((2/1)*((6-((3*9)/(8/4)))/1))-(0+6))	21/639*84//-1/*06+-
((((5-(1/(6+1)))+(6+2))-(1*0))/(1/9))	5161+/-62++10*-19//
((5*((5-9)-(1*1)))/(9*(1/(5-(1-5)))))	559-11*-*91515--/*/
(((2+(9-(9/6)))*(5+(7/(5-2))))+(2/0))	2996/-+5752-/+*20/+
(9/((5-(2-(1-(5+1))))/(1-((3*5)-6))))	952151+---135*6--//
((((2-(9*2))*9)-(8+(5-1)))+(1/(6-8)))	292*-9*851-+-168-/+
(((3*5)-(6*9))-(6*((3/0)-(5-(6/1)))))	35*69*-630/561/--*-
(((8+(3+(0*1)))-(9+(7+3)))*(6*(6/3)))	8301*++973++-663/**
((((6+8)+(7/((0-5)*5)))/(0-(5+8)))+6)	68+705-5*/+058+-/6+
((9/(0*(3-(6/(6-(0+(3/1)))))))-(3*9))	90366031/+-/-*/39*-
((((4+(1+6))*(4+1))/(5-1))*(4/(9*8)))	416++41+*51-/498*/*
(((6-6)*(8/(4+(5*(8+(3/8))))))-(3/4))	66-845838/+*+/*34/-
(((7+(9*3))*(7*1))+((8+(2+5))+(8+3)))	793*+71**825++83+++
((7/(5+0))/(8-(1+(1-(1/(0+(2/3)))))))	750+/8111023/+/-+-/
((((8*(1-2))+5)*(1-(8/3)))-(6*(5-8)))	812-*5+183/-*658-*-
((8/((2/7)-(6+(4+5))))/(0*(3*(4/4))))	827/645++-/0344/**/
(3+(((0/(2*(7*(3-(0/9)))))*1)*(1/1)))	3027309/-**/1*11/*+
(((7/(1/5))/(5*(4/5)))-(7*(7+(0-7))))	715//545/*/7707-+*-
((((8+6)/(4*(6-6)))-(2+(4-(4/4))))+0)	86+466-*/2444/-+-0+
(((5-(2+2))-2)/(0+(5+(6*((0+1)/8)))))	522+-2-05601+8/*++/
(((4*2)*(7/1))-(7-((2/(0*1))/(7/9))))	42*71/*7201*/79//--
(((1-(9*(8*(1+4))))-(0+3))+(0+(6*5)))	19814+**-03+-065*++
((6*1)+((9-(1-(2-0)))*(3/(4-(8/5)))))	61*9120---3485/-/*+
((((((4+2)-9)-2)*9)/(3+(1*4)))*(9*7))	42+9-2-9*314*+/97**
(((((2+(1*3))/2)+0)*5)*(0-(1/(7/6))))	213*+2/0+5*0176//-*
(((0*5)*(3+(2+0)))/(5/(4*(2+(0+8)))))	05*320++*54208++*//
((5+(8+7))+(5+(6+(2*(3*(6/(2+2)))))))	587++5623622+/**+++
(((0-(4+4))+(8-(8/0)))/(4*(4-(2*7))))	044+-880/-+4427*-*/
((5+(5/(1/7)))+(6-(0-(3+(3/(5*4))))))	5517//+603354*/+--+
((((1+(1/0))-2)*(8/5))+(0/(4+(9*4))))	110/+2-85/*0494*+/+
((((1+(6/1))*(5-(2-9)))/6)-(2/(7*4)))	161/+529--*6/274*/-
(((2/5)-(3/7))/(9-((0+(6-3))*(3/9))))	25/37/-9063-+39/*-/
((((5+(6*(6/4)))+(1-(4+2)))-(7+0))-1)	5664/*+142+-+70+-1-
(((((9+6)+0)+(1-(3+(0-4))))*(0+6))/4)	96+0+1304-+-+06+*4/
(((9/6)+((1+0)/(6/6)))+(8-(8+(5-0))))	96/10+66//+8850-+-+
((((0/(0*7))*(9+((8/0)-7)))+(6+9))*3)	007*/980/7-+*69++3*
(((3*(5-9))/(6*(5+(7/(8/8)))))*(2*9))	359-*65788//+*/29**
(5*((5+(2-4))/(3-(5-(9*(4+(7-5)))))))	5524-+359475-+*--/*
((3*((5-8)/(2/9)))*(0/((5+6)+(5-3))))	358-29//*056+53-+/*
((((7*5)/(8/9))+(7*(3-(1-(1/4)))))-4)	75*89//73114/--*+4-
((((8-(5*(1/7)))*(2/6))*(2+2))+(6/9))	8517/*-26/*22+*69/+
((0/(1-(1/(1/6))))/(1+((6*7)*(5*1))))	01116//-/167*51**+/
(((4/(8+6))+(3+1))-(2/(7+(7/(7+1)))))	486+/31++27771+/+/-
((3+(1-1))/((6/1)*(6-(4+(1/(6-4))))))	311-+61/64164-/+-*/
(((6-8)*(1*4))+((3*(6/7))-(8-(6+3))))	68-14**367/*863+--+
((((8/(3/0))-(9-8))+(1*2))/(7-(8+5)))	830//98--12*+785+-/
((((2*(3-(4+7)))*6)*(3/(7+6)))/(9-2))	2347+-*6*376+/*92-/
((((0+0)*3)+(3+(6/(1+2))))-(2/(2+2)))	00+3*3612+/++222+/-
(((7*0)*((8/(6+9))+6))-(7-(0/(1/2))))	70*869+/6+*7012//--
(((4-(7/5))*(7-4))+((9/(8*3))*(0-0)))	475/-74-*983*/00-*+
((6+0)/((4+(4-(7*7)))-(6+(3/(0-4)))))	60+4477*-+6304-/+-/
((7+(4/(9/(9-(9*9)))))/(7/((6-8)-1)))	749999*-//+768-1-//
