(7-(4*(4*3)))	7443**-
(1+(8-(1-3)))	1813--+
(7+((1*3)-6))	713*6-+
(8/(0+(7-4)))	8074-+/
(3*(5/(8/2)))	3582//*
(3-(5*(6-4)))	3564-*-
(5*(5-(5+3)))	5553+-*
(3*(5-(9/8)))	3598/-*
(9-((8/3)/8))	983/8/-
(2-(6*(1+9)))	2619+*-
(8/(9/(7*9)))	8979*//
(6-(6+(7+8)))	6678++-
(0+((9*2)/7))	092*7/+
((4*6)*(8*1))	46*81**
(2*((7/7)/3))	277/3/*
(7-(6*(3-7)))	7637-*-
(6-(5/(6-2)))	6562-/-
((2/7)*(3+9))	27/39+*
(4-((2*6)+5))	426*5+-
(3/(3*(2*5)))	3325**/
((9+8)+(6*4))	98+64*+
(5/(8*(5*0)))	5850**/
(5*(4-(5*7)))	5457*-*
(4*(0*(0+7)))	4007+**
((7-0)*(2+0))	70-20+*
((5+8)-(8/0))	58+80/-
(8*(2-(2/2)))	8222/-*
(3+(3-(8+6)))	3386+-+
(8+(3/(7+3)))	8373+/+
(3+(7-(7*0)))	3770*-+
((1/3)-(8+1))	13/81+-
((5+7)+(1+4))	57+14++
(6-(7-(2/4)))	6724/--
(4*((1+2)*6))	412+6**
(2*(9/(8/0)))	2980//*
(1/(1-(7+1)))	1171+-/
((0*2)*(1+3))	02*13+*
(6+(9+(8*5)))	6985*++
(6+(8-(8*7)))	6887*-+
(8*(7+(5/5)))	8755/+*
(6-(7*(0-9)))	6709-*-
(5+(9+(0+6)))	5906+++
(1-(0*(6-7)))	1067-*-
(4+(3/(4+0)))	4340+/+
(5-(3-(6/6)))	5366/--
(2-(5*(2*3)))	2523**-
(6-(7-(9+3)))	6793+--
((5+6)-(5/3))	56+53/-
(1+(8-(4-6)))	1846--+
(9*(5+(0*2)))	9502*+*
(2+(8*(7-1)))	2871-*+
(4*(8+(4*1)))	4841*+*
(8-(5+(7+7)))	8577++-
(0/(5+(2-0)))	0520-+/
(0*(0*(4-4)))	0044-**
((1/0)/(0-9))	10/09-/
(1+(4*(6/3)))	1463/*+
((0*3)/(5*0))	03*50*/
(3-(6/(0+6)))	3606+/-
(7+(2/(4+4)))	7244+/+
(1+(6-(1*3)))	1613*-+
(3/(6-(9*5)))	3695*-/
(1-(6/(7+4)))	1674+/-
(7*(4-(3-5)))	7435--*
(0/(5+(4+1)))	0541++/
(0-(5+(8/4)))	0584/+-
(1*(2/(9*8)))	1298*/*
(6*(2+(3+2)))	6232++*
(1*(9+(9+9)))	1999++*
(8/(6*(2+7)))	8627+*/
(5*(8-(6*8)))	5868*-*
(2+(9*(3-4)))	2934-*+
(0+(6*(2*3)))	0623**+
(5/(8-(9/1)))	5891/-/
(2/(9-(7/7)))	2977/-/
(9*(7+(6+0)))	9760++*
(1-(9*(8*0)))	1980**-
(2-(7+(8-3)))	2783-+-
(3/(7/(2/1)))	3721///
(7+((5+8)+4))	758+4++
(7*(6/(9+2)))	7692+/*
(4*((8-0)+9))	480-9+*
((1/7)*(3*0))	17/30**
(1*((7/6)/6))	176/6/*
(5-(6+(5-5)))	5655-+-
(4/(6-(1+7)))	4617+-/
((3*0)/(1+6))	30*16+/
(2-(3/(2+7)))	2327+/-
(4+(7-(1-9)))	4719--+
(2/((1+6)*2))	216+2*/
(1/(8+(4*8)))	1848*+/
(3+(6+(0+5)))	3605+++
(4*(4-(5*3)))	4453*-*
(1*(5*(2*9)))	1529***
(4/(2/(8/2)))	4282///
(7/(1/(8*1)))	7181*//
((0/(9/1))*4)	091//4*
(7+(8/(3+8)))	7838+/+
(3/((2/4)+1))	324/1+/
(2*(9+(1-3)))	2913-+*
(6+((1*6)+0))	616*0++
(5+(2+(1+5)))	5215+++
(4+(7/(3*6)))	4736*/+
((0/(1/8))*8)	018//8*
(2-((2+3)-9))	223+9--
(9+((3-9)*9))	939-9*+
((5/6)+(5/6))	56/56/+
(3-(7+(2+4)))	3724++-
(1+(8/(1*1)))	1811*/+
(1-(6/(6*7)))	1667*/-
(4/(3*(9/6)))	4396/*/
(9-(2-(3-2)))	9232---
(4/(2+(0-8)))	4208-+/
(2+(3*(1/6)))	2316/*+
(8*(4+(6/2)))	8462/+*
(0-(1+(1*7)))	0117*+-
(5-(3/(6-0)))	5360-/-
(9*(3*(0+5)))	9305+**
(4+(7-(9-6)))	4796--+
(8/(2+(2*8)))	8228*+/
(4+(7+(8/7)))	4787/++
((5-(3+4))-7)	534+-7-
(0/(1-(2*3)))	0123*-/
(9*(6/(6*8)))	9668*/*
(6*((6*1)+8))	661*8+*
(6+(5/(8-2)))	6582-/+
(4*(0/(5*1)))	4051*/*
(8/(6/(6*3)))	8663*//
(0-((2/4)-7))	024/7--
(7+(3*(4+2)))	7342+*+
(1+(3*(8-3)))	1383-*+
(0/((2/0)/3))	020/3//
((2-6)+(8-3))	26-83-+
(2+(5*(2/3)))	2523/*+
(3-(3*(1/0)))	3310/*-
(2+(3*(1*0)))	2310**+
(8+(3/(2-1)))	8321-/+
(1*(8-(6+3)))	1863+-*
((3+3)-(4*0))	33+40*-
(6-(1-(7/9)))	6179/--
(5+(6*(2/2)))	5622/*+
(7*(6-(4-5)))	7645--*
(3-(0+(3+4)))	3034++-
(7-(9-(9/9)))	7999/--
((2/0)-(8-2))	20/82--
(3-(2-(4*3)))	3243*--
(2*(3-(8*2)))	2382*-*
((9+7)*(1-4))	97+14-*
(4/(7-(8+9)))	4789+-/
((7*4)*(9*3))	74*93**
(9*(9-(4/2)))	9942/-*
(3*((2+6)-1))	326+1-*
((7-5)/(2-5))	75-25-/
(2-(0-(8/1)))	2081/--
(9+(7*(5+2)))	9752+*+
(1+((7/5)/8))	175/8/+
(4/(3/(1/9)))	4319///
(4+((9*1)+8))	491*8++
((2+6)*(8*6))	26+86**
(6+(8*(4+6)))	6846+*+
(2/(9+(5/2)))	2952/+/
((3+7)/(7/5))	37+75//
(8/(3/(6-5)))	8365-//
(0-(6+(7/4)))	0674/+-
(3-(3*(8/6)))	3386/*-
(9-(3*(9/0)))	9390/*-
(5*(6*(2*4)))	5624***
(5-(5/(3/6)))	5536//-
(0-(5-(7*5)))	0575*--
(0/(4*(8/4)))	0484/*/
((5-1)/(1+0))	51-10+/
(2-(2-(2*2)))	2222*--
(8-(8/(4+6)))	8846+/-
((1-(2+4))*4)	124+-4*
(9*(6*(9*1)))	9691***
(2/(1+(5/8)))	2158/+/
(1+(0+(8/0)))	1080/++
(8-(1*(8-2)))	8182-*-
(6+(3-(7/9)))	6379/-+
((4/7)+(6/0))	47/60/+
(7+(9/(6*1)))	7961*/+
(9-((1-5)*1))	915-1*-
(1*(9+(7*9)))	1979*+*
(4+(6*(5+9)))	4659+*+
(0*((3*6)/9))	036*9/*
(0*(6+(4+1)))	0641++*
(6/(7-(9/2)))	6792/-/
(3-(9*(2/5)))	3925/*-
(7/(5*(2*3)))	7523**/
(6*(3*(3+5)))	6335+**
(2-(4-(9/7)))	2497/--
(6+(9+(2/3)))	6923/++
(1-(7-(6/4)))	1764/--
(3+(6*(4+8)))	3648+*+
(4-((2/4)/1))	424/1/-
(2-(5/(7-5)))	2575-/-
(7+((9/5)-2))	795/2-+
(8/(5*(8+8)))	8588+*/
(1/(1-(0-9)))	1109--/
((7-7)+(5*9))	77-59*+
(4/((3/1)-4))	431/4-/
((9/7)*(4+1))	97/41+*
(3-((4*2)-8))	342*8--
(5+(7+(3*8)))	5738*++
(0-(2*(8-5)))	0285-*-
(0+(0*(1/1)))	0011/*+
((0/9)*(5+7))	09/57+*
(8+(6/(4+4)))	8644+/+
(9*(2-(6+8)))	9268+-*
(8+(4+(3-1)))	8431-++
(6*(8*(8/6)))	6886/**
((2*6)-(9-7))	26*97--
(8-(5-(5-8)))	8558---
(1+((8*0)*1))	180*1*+
(7*(8+(5+8)))	7858++*
(8*((2-0)*2))	820-2**
(3*(3+(1/8)))	3318/+*
(6-(2+(3-1)))	6231-+-
(8*(4-(5+5)))	8455+-*
(5+(0-(8/7)))	5087/-+
(1+(1/(5/0)))	1150//+
(5-(7+(0-5)))	5705-+-
(7*(5-(3+6)))	7536+-*
(7/(9+(8/4)))	7984/+/
(3/(9*(3*4)))	3934**/
(1+(6*(9-1)))	1691-*+
(4-(8/(2+3)))	4823+/-
((4/1)+(7*2))	41/72*+
(7/(3-(1+3)))	7313+-/
(8*(6+(7-1)))	8671-+*
(1+(9*(4-1)))	1941-*+
(8+(8/(3-1)))	8831-/+
(6*(1*(6*2)))	6162***
(3+(0/(8+2)))	3082+/+
(3+(6/(6-1)))	3661-/+
(5/(6-(4*9)))	5649*-/
((1-1)-(1-4))	11-14--
(7-(5*(1*5)))	7515**-
(0/((3-1)-8))	031-8-/
(5*(8-(3/1)))	5831/-*
((6/0)+(3*7))	60/37*+
((6+0)+(3*9))	60+39*+
(9*((3+5)+0))	935+0+*
(9*(8/(9/2)))	9892//*
(0+(1-(2+7)))	0127+-+
(5+(1*(5/5)))	5155/*+
(3-(7*(3+9)))	3739+*-
(0/(2-(7-2)))	0272--/
(7*((3+3)/3))	733+3/*
(7+(6/(5/8)))	7658//+
((4*4)-(0/3))	44*03/-
(6/(5-(3/9)))	6539/-/
(1/(7+(2-6)))	1726-+/
((8+(8-6))*0)	886-+0*
(3+(0/(0-4)))	3004-/+
(2-(4/(0-0)))	2400-/-
(2+((4*6)+0))	246*0++
(4+(0+(1/4)))	4014/++
((9+8)+(5/6))	98+56/+
(5-(8-(2/8)))	5828/--
(2/(0+(9-0)))	2090-+/
(1-(1-(9*0)))	1190*--
(7-(8/(9+6)))	7896+/-
(9-(5-(9*6)))	9596*--
(4*((4-2)/8))	442-8/*
(7/(3/(2-7)))	7327-//
(1*(0-(7-0)))	1070--*
(3+(2/(9+6)))	3296+/+
(5*(1+(1+4)))	5114++*
(7+(3-(2/0)))	7320/-+
(7/(6+(4/8)))	7648/+/
(7-((5+8)/8))	758+8/-
(7-(1*(8*0)))	7180**-
(7-((6-3)*3))	763-3*-
(6/((0/2)-0))	602/0-/
(1+(1+(1+3)))	1113+++
(9+(9-(2+5)))	9925+-+
((3-0)*(0-3))	30-03-*
((2*8)+(4+2))	28*42++
(4-(8*(9/5)))	4895/*-
((5*7)/(7/1))	57*71//
(2*(2-(9*0)))	2290*-*
(5*(4-(3-9)))	5439--*
(0+(4*(3/7)))	0437/*+
(3-(1-(2+3)))	3123+--
(1*(8+(3-4)))	1834-+*
(7-(7/(1+7)))	7717+/-
(5/(4+(4*8)))	5448*+/
(0/(0-(7*6)))	0076*-/
(1/(1+(2/9)))	1129/+/
(0+(0-(4-8)))	0048--+
(2*((4-0)/3))	240-3/*
(5-(0-(4-5)))	5045---
((4+9)+(7*8))	49+78*+
((8*1)+(7+9))	81*79++
(1*(8+(9*2)))	1892*+*
(0+(7-(8/3)))	0783/-+
(8*(5+(9*7)))	8597*+*
(2-(8-(5+3)))	2853+--
(3*((9/8)*0))	398/0**
(1/(5*(6-1)))	1561-*/
(7*((2+6)+3))	726+3+*
(3*(8-(7/3)))	3873/-*
(8-(8*(6+0)))	8860+*-
((6/8)+(3/3))	68/33/+
((5/4)*(7/5))	54/75/*
(5/(4/(0*9)))	5409*//
(4+(5-(0+7)))	4507+-+
(4*(3*(9*9)))	4399***
(3-(2*(8-0)))	3280-*-
(4*((4/7)/9))	447/9/*
(8-(5/(2+9)))	8529+/-
(8+(8*(2-6)))	8826-*+
(4/(7*(5*4)))	4754**/
(6-(8-(5/5)))	6855/--
(1-(0-(3+7)))	1037+--
(9/(9/(3*2)))	9932*//
(9-((2*7)*4))	927*4*-
(6*(3*(5-1)))	6351-**
(7-(1-(6-6)))	7166---
(0-(3+(3+7)))	0337++-
(1/(1/(4-1)))	1141-//
(6*(1-(6/6)))	6166/-*
((3/6)/(5/9))	36/59//
((2-8)-(9*2))	28-92*-
(8*(7*(8+9)))	8789+**
(8/(4/(7/3)))	8473///
(6*(2-(8*6)))	6286*-*
(3/((9-5)/5))	395-5//
(1+((5*6)+1))	156*1++
(4-(1*(4*4)))	4144**-
(2*((2+5)/6))	225+6/*
((2+5)*(3*7))	25+37**
(8/(1+(1*3)))	8113*+/
((6/5)*(5-0))	65/50-*
(1-(5-(0+6)))	1506+--
(0*(0/(1-4)))	0014-/*
((0/4)-(9*5))	04/95*-
(0/(0/(8*2)))	0082*//
(7+(4+(8/3)))	7483/++
(1*(2/(5/3)))	1253//*
(0-(8/(5-1)))	0851-/-
(9*((8+1)*7))	981+7**
(5/((0/4)*0))	504/0*/
(8*(7+(7/7)))	8777/+*
(1+(7-(4*5)))	1745*-+
(7*(0-(1*7)))	7017*-*
(6+(4*(2+3)))	6423+*+
(7*(8*(9-0)))	7890-**
(1/(7+(6/1)))	1761/+/
((6/5)+(1+3))	65/13++
(6+(6+(9-0)))	6690-++
(2+(4+(1-8)))	2418-++
(3-((0/9)*5))	309/5*-
(5*(8-(7*4)))	5874*-*
((9*(4/8))-6)	948/*6-
(0+(6/(6*8)))	0668*/+
(8+(5/(4-1)))	8541-/+
((1+9)-(6/0))	19+60/-
(2*(6+(0*9)))	2609*+*
((3/8)-(1/9))	38/19/-
(1/((7/2)/3))	172/3//
(9+(9*(2+7)))	9927+*+
(8+(5+(0/8)))	8508/++
(3*(4*(9-3)))	3493-**
(6-(5+(0+1)))	6501++-
(6*(4-(4+0)))	6440+-*
(1*(4*(7/5)))	1475/**
(3*((0*9)-1))	309*1-*
(9+(2/(1/4)))	9214//+
((4-3)*(0+3))	43-03+*
(1-(0*(0*5)))	1005**-
(5/(9*(2+4)))	5924+*/
(4+(9*(4-3)))	4943-*+
(7*(7/(5-5)))	7755-/*
(7+(1*(5/1)))	7151/*+
(4*(6-(1/1)))	4611/-*
(4*(2*(0+7)))	4207+**
(1*(8+(0/4)))	1804/+*
(1+(5/(9-2)))	1592-/+
(2/(9/(1+2)))	2912+//
(3-((1/8)+7))	318/7+-
(3/(8+(2/7)))	3827/+/
((3+(3/3))/6)	333/+6/
(6+(7/(4/1)))	6741//+
(4*(3/(8-8)))	4388-/*
(2/(4+(4-1)))	2441-+/
(1-((2+2)+7))	122+7+-
(0*(7/(5*0)))	0750*/*
(0/(8+(3/6)))	0836/+/
(4+(8-(5-4)))	4854--+
(0-(0-(6+4)))	0064+--
((5+(8+6))-5)	586++5-
(6*(0+(2-1)))	6021-+*
(1/(5-(0-8)))	1508--/
(8*((9-2)-9))	892-9-*
(0+(4+(2/6)))	0426/++
(6-(3-(4/2)))	6342/--
(6*(5*(8+7)))	6587+**
((2+(2*5))*0)	225*+0*
(3+(1-(9-8)))	3198--+
(5+(9*(7*2)))	5972**+
(5*(0+(6+0)))	5060++*
(6+(7*(0/3)))	6703/*+
(6/((8*1)/5))	681*5//
(8*(1+(0*8)))	8108*+*
(2/(9+(4+7)))	2947++/
((5-1)*(2*3))	51-23**
((9*(1-0))/5)	910-*5/
(4+(3*(9-6)))	4396-*+
((8-1)+(3/7))	81-37/+
(4+((0-5)*5))	405-5*+
(0+(6/(9-7)))	0697-/+
(5/(1/(5/3)))	5153///
(4*((1*5)/5))	415*5/*
((1/(6/9))/3)	169//3/
(3/(7+(8-0)))	3780-+/
((7-3)/(9*6))	73-96*/
(9*(1*(1+3)))	9113+**
(8+(7/(0+1)))	8701+/+
(6+((5-8)/4))	658-4/+
(3-((9*7)-6))	397*6--
(0+(4+(9/3)))	0493/++
(1/((5+5)/9))	155+9//
((6/(5*5))/3)	655*/3/
(8/(8-(6+5)))	8865+-/
(1+(2-(8/3)))	1283/-+
(8-(1*(9/2)))	8192/*-
(5/(6*(0/7)))	5607/*/
((0+6)+(4+1))	06+41++
((1*4)+(2-7))	14*27-+
(7*(9/(1+9)))	7919+/*
(5*(6/(1-0)))	5610-/*
((8*(2+7))-9)	827+*9-
(3*(0-(9-0)))	3090--*
(8/(2+(5/5)))	8255/+/
((8/5)+(2+6))	85/26++
(8*(9*(5-7)))	8957-**
(4/(2*(1/5)))	4215/*/
(8-(7+(7*8)))	8778*+-
(7-(9*(3/1)))	7931/*-
(3+(7-(6-5)))	3765--+
((7/(2+0))/8)	720+/8/
(1/(7*(8-5)))	1785-*/
(7-(5/(5/2)))	7552//-
(5-(7+(2+1)))	5721++-
(2/(0-(7/0)))	2070/-/
(1/(3+(8/5)))	1385/+/
((8*6)+(3-5))	86*35-+
(1*(0+(1/6)))	1016/+*
(5-(7+(5+9)))	5759++-
(6-(3*(6/9)))	6369/*-
((1+5)*(1*8))	15+18**
(4/(7-(9+5)))	4795+-/
(5/(5+(5+4)))	5554++/
((7*6)+(7+1))	76*71++
(2-(8*(7-3)))	2873-*-
(5-(2+(3*6)))	5236*+-
(9-(3+(8+6)))	9386++-
((9/1)+(1+9))	91/19++
((2*3)/(7-8))	23*78-/
(1/(8*(7/0)))	1870/*/
(4-((4+9)/8))	449+8/-
(3*(5/(1/9)))	3519//*
((8-2)/(4*3))	82-43*/
(6/(8*(3+4)))	6834+*/
((9*9)/(2*0))	99*20*/
(8-(5+(7+3)))	8573++-
(1+(4/(0-8)))	1408-/+
(2-(7-(3/3)))	2733/--
(1/(4+(4/2)))	1442/+/
(7*((4/2)+8))	742/8+*
(6/(1+(9-6)))	6196-+/
(5*(0/(3-1)))	5031-/*
(5/(8+(4/4)))	5844/+/
(4-(5+(6/2)))	4562/+-
(5-(7-(5/2)))	5752/--
(1/(3-(5/4)))	1354/-/
(3-(7+(8+7)))	3787++-
(5-(1/(0/1)))	5101//-
(6+(2/(6-9)))	6269-/+
(7/(3+(6*8)))	7368*+/
(1+(5/(4+3)))	1543+/+
(3/(9/(5-5)))	3955-//
((7-(1-2))-7)	712--7-
((6*0)-(4+6))	60*46+-
(1+(1/(3-2)))	1132-/+
((0/5)-(7/8))	05/78/-
(5*(3+(0/8)))	5308/+*
(1-(7/(8+3)))	1783+/-
(1-(0+(4*5)))	1045*+-
((7-7)+(7-9))	77-79-+
(1/(1/(2/9)))	1129///
(7-(4-(9+4)))	7494+--
(3/(8*(0-5)))	3805-*/
(3*((0+7)+1))	307+1+*
((6/1)+(1/1))	61/11/+
(0-(0-(0-1)))	0001---
(2-(3*(6-0)))	2360-*-
(5+(1*(1/3)))	5113/*+
(3/(7-(2+7)))	3727+-/
(2-(5-(3*4)))	2534*--
(9+((7-0)/7))	970-7/+
(7/(6/(5*3)))	7653*//
(2+(9+(4/5)))	2945/++
(0/(5+(1+7)))	0517++/
(8*(2/(1-7)))	8217-/*
(6+(2*(4/0)))	6240/*+
(4*(0*(6+4)))	4064+**
(4*(0-(0*2)))	4002*-*
(1/(8*(3/6)))	1836/*/
((0*3)*(8*8))	03*88**
(0+((9-9)-0))	099-0-+
(4+(9-(4+2)))	4942+-+
(0*(7*(3/6)))	0736/**
(8*(6*(9+8)))	8698+**
(2*(0-(9*0)))	2090*-*
((7/8)+(6+4))	78/64++
((2*7)*(1+0))	27*10+*
(7-(1-(2*0)))	7120*--
(5/(5-(2-3)))	5523--/
(6/(2/(4*3)))	6243*//
(1/(4+(2/2)))	1422/+/
(1/(6+(9+5)))	1695++/
(8-(0/(6/0)))	8060//-
(5*(7+(4*4)))	5744*+*
(1-(9*(0/7)))	1907/*-
((1+6)*(5*0))	16+50**
(6+(7+(5-0)))	6750-++
(4/(3*(5+7)))	4357+*/
(3-(8/(9+8)))	3898+/-
(4/(5-(7-1)))	4571--/
(1/(9/(8-6)))	1986-//
(0+(7*(2*1)))	0721**+
(4-(8+(3*4)))	4834*+-
((9*6)*(0/5))	96*05/*
(5/(3*(1-4)))	5314-*/
((2*7)+(4*1))	27*41*+
(7+(2/(3+5)))	7235+/+
(4/((5-6)*4))	456-4*/
(9+(1/(2-0)))	9120-/+
((3+4)*(6+3))	34+63+*
((8*9)/(2*0))	89*20*/
(6+(3+(8*6)))	6386*++
((0/(9+2))+8)	092+/8+
(5-(2*(8-5)))	5285-*-
(0-(1+(6+7)))	0167++-
((8+4)*(6/2))	84+62/*
((4-(6*5))+3)	465*-3+
(0-((5+1)/2))	051+2/-
(2-(4*(9-7)))	2497-*-
(1-(3+(8/2)))	1382/+-
(2*(2-(5+2)))	2252+-*
(4+(0/(0/4)))	4004//+
((3/6)*(8/0))	36/80/*
(7*(9+(3/3)))	7933/+*
(8+((1+8)+0))	818+0++
(6/(2-(5*2)))	6252*-/
(3+(3/(1*8)))	3318*/+
(2/(8*(4*7)))	2847**/
(1-(9*(0/8)))	1908/*-
(6*(7-(2-6)))	6726--*
(5+(8-(8*5)))	5885*-+
(6*(6/(7/9)))	6679//*
(9+(7+(9*8)))	9798*++
((3*4)*(8+5))	34*85+*
(8/((1-2)/0))	812-0//
((2-2)/(4*5))	22-45*/
(0*(7-(5*9)))	0759*-*
(1+(1-(9*3)))	1193*-+
(9*(9*(4/1)))	9941/**
((4-4)-(5*0))	44-50*-
(3+(8-(2/2)))	3822/-+
(7*(9+(6-6)))	7966-+*
(9*(2+(5*0)))	9250*+*
(0-(8/(5-4)))	0854-/-
((0*3)/(7+3))	03*73+/
(7+(7+(3/5)))	7735/++
(1+((7*4)*1))	174*1*+
(8-(3*(1*8)))	8318**-
(3/(4+(5-3)))	3453-+/
(8-(5*(1-2)))	8512-*-
((0/0)/(8+1))	00/81+/
((0+6)+(3-2))	06+32-+
((4-5)-(1/4))	45-14/-
((9*7)-(6*6))	97*66*-
(8-(6/(1-3)))	8613-/-
((3-1)*(3+2))	31-32+*
((8+5)+(8-0))	85+80-+
(4+((3/0)*3))	430/3*+
(5*(9-(1/6)))	5916/-*
((2/(0+4))+9)	204+/9+
(8*(6*(1+9)))	8619+**
(8/(9-(4/2)))	8942/-/
(1-(3*(1*7)))	1317**-
(5-(7*(6/3)))	5763/*-
(8*(4+(0/2)))	8402/+*
(5/(6/(0-4)))	5604-//
((1+6)-(9*5))	16+95*-
(9/(2/(9+8)))	9298+//
(0-(8*(0*9)))	0809**-
(7*(7-(1+4)))	7714+-*
(9+((5*3)-9))	953*9-+
((6*4)/(7+1))	64*71+/
(4-(1-(7*0)))	4170*--
((4*(2-5))+6)	425-*6+
(7+((4-5)+8))	745-8++
(1*(1/(3+9)))	1139+/*
(7-(8+(2-8)))	7828-+-
(0/(8+(2+3)))	0823++/
(6/(6/(0-2)))	6602-//
(1/(7/(7/9)))	1779///
(4-((4+3)+5))	443+5+-
(2/((7+2)-1))	272+1-/
(1/(6/(8+0)))	1680+//
(5-(3+(0-7)))	5307-+-
(9-(4/(8*4)))	9484*/-
(9*(6/(9+5)))	9695+/*
(0-(6-(7+4)))	0674+--
((2*(8+2))/8)	282+*8/
(2/(5-(7-0)))	2570--/
(3*(6/(7+9)))	3679+/*
(5-((2/1)-1))	521/1--
((8/5)/(4*3))	85/43*/
(2/((3-4)+4))	234-4+/
((3*6)+(4-3))	36*43-+
(6*(3+(9-9)))	6399-+*
(5*(8+(2*4)))	5824*+*
((8-4)*(0+0))	84-00+*
(2/(5+(7/4)))	2574/+/
(6-(6-(0/6)))	6606/--
(9/(1-(2+5)))	9125+-/
(1/(1-(4/1)))	1141/-/
(7*((7-2)/2))	772-2/*
(0-(4-(7*1)))	0471*--
((9-(4-5))/0)	945--0/
(9-(8+(1+1)))	9811++-
(0*(8*(4+5)))	0845+**
(7/(2*(7/1)))	7271/*/
(2*(8*(0+4)))	2804+**
(7+((9+3)+5))	793+5++
(7+(8+(1/5)))	7815/++
(7-(0+(9/0)))	7090/+-
(3*(4+(4+9)))	3449++*
(7-(2/(0-8)))	7208-/-
(0+(3/(3-9)))	0339-/+
(3*(4+(9-0)))	3490-+*
(6+(1+(5+9)))	6159+++
((9+8)+(3/8))	98+38/+
(4/(5-(9*7)))	4597*-/
(7-((7*1)*3))	771*3*-
(1+((9*7)*1))	197*1*+
(5-(1+(1/7)))	5117/+-
(9/((1+8)-4))	918+4-/
(5+(1+(6-4)))	5164-++
(7/(0/(5/9)))	7059///
(9*(2+(8*8)))	9288*+*
(7-(1-(6+8)))	7168+--
(9+(5/(7-1)))	9571-/+
(4/(9+(1*5)))	4915*+/
((1/9)*(4+4))	19/44+*
(7*(3*(4*7)))	7347***
(5/(6-(0-8)))	5608--/
(3*(1*(9/2)))	3192/**
(0-(2*(0+7)))	0207+*-
((1+7)-(6-0))	17+60--
(3/(7-(2*9)))	3729*-/
(6-(3/(3/8)))	6338//-
(7*(2/(8+9)))	7289+/*
(8-(7-(6/7)))	8767/--
((9+4)/(1*4))	94+14*/
(8+(4*(9+3)))	8493+*+
(0-((7*7)/8))	077*8/-
((3+(2/0))/4)	320/+4/
(4*(8+(9*6)))	4896*+*
(4-(5/(9-8)))	4598-/-
(5-(2/(3*2)))	5232*/-
((7/5)*(3/1))	75/31/*
((4*6)+(6*1))	46*61*+
((1+1)-(1+7))	11+17+-
(0+(6/(8+2)))	0682+/+
(2+(4/(7*5)))	2475*/+
(6*((1*7)*6))	617*6**
(1+(8-(3+2)))	1832+-+
(7+(1*(7*3)))	7173**+
(4*(0-(4+4)))	4044+-*
(9-(2*(4+0)))	9240+*-
(9+(4/(2+7)))	9427+/+
(5+(3/(7/9)))	5379//+
(7*(4/(1-8)))	7418-/*
