((3-0)/8)	30-8/
((6+2)*5)	62+5*
(6-(6-9))	669--
((5+9)*7)	59+7*
((4-4)*4)	44-4*
((8+6)*6)	86+6*
(0*(4*2))	042**
((1+4)-5)	14+5-
((7*6)-3)	76*3-
(3-(7+8))	378+-
(5+(7-9))	579-+
(8/(8+6))	886+/
((0-9)-5)	09-5-
(7-(2*4))	724*-
(2+(8*2))	282*+
((9*8)*8)	98*8*
((5+6)*5)	56+5*
((2/5)/4)	25/4/
((4/5)+7)	45/7+
((7+2)*2)	72+2*
(4/(4/8))	448//
(2-(4/1))	241/-
(5-(4+0))	540+-
((0-4)/0)	04-0/
((3-1)*3)	31-3*
(8+(5-4))	854-+
((1+1)+3)	11+3+
(5-(9*3))	593*-
(6/(5*6))	656*/
(4*(1*7))	417**
(4/(8-7))	487-/
((3+0)/4)	30+4/
(7+(8+8))	788++
(0+(4/5))	045/+
(8+(2-9))	829-+
(9+(3*4))	934*+
((2*7)+5)	27*5+
((4*4)/8)	44*8/
((5*2)+5)	52*5+
((6-2)/9)	62-9/
(5/(3+7))	537+/
((8+4)+8)	84+8+
(3+(3*7))	337*+
(8-(0/6))	806/-
(3+(1+2))	312++
(9*(7-0))	970-*
((4*8)/5)	48*5/
((6/4)-8)	64/8-
((9+1)-5)	91+5-
(7-(6*9))	769*-
(3/(3*1))	331*/
((2*1)-4)	21*4-
(4/(5/4))	454//
((9*4)*9)	94*9*
(5+(7/7))	577/+
(0+(5-8))	058-+
(0/(2*9))	029*/
(4-(6+4))	464+-
(0*(7-3))	073-*
((6+7)/8)	67+8/
((6-3)/7)	63-7/
(1-(5-9))	159--
((2*2)*0)	22*0*
((6+7)+7)	67+7+
((2*7)-3)	27*3-
(3*(2*6))	326**
(1+(2*9))	129*+
(8*(2-5))	825-*
((7-0)+0)	70-0+
(8+(3-1))	831-+
((8-7)-5)	87-5-
(6/(3+0))	630+/
((4+6)/6)	46+6/
(3*(0/8))	308/*
((7/7)/8)	77/8/
(9/(8-9))	989-/
(5/(0-8))	508-/
(4-(3/9))	439/-
((9-1)*2)	91-2*
(8+(9+4))	894++
(4-(8-7))	487--
((8*3)-3)	83*3-
((1*7)*4)	17*4*
((4+0)*3)	40+3*
(5+(7/8))	578/+
(2+(3/4))	234/+
(5+(7-4))	574-+
(2*(8/1))	281/*
(9*(7+8))	978+*
((1-3)/7)	13-7/
(0-(0+6))	006+-
((4+9)-2)	49+2-
(4+(9*8))	498*+
((6-2)*1)	62-1*
(8-(0+6))	806+-
(6/(4/6))	646//
((7-5)+0)	75-0+
(7/(0-4))	704-/
(3*(7-2))	372-*
((0-4)-7)	04-7-
(0-(0+8))	008+-
((4+2)+4)	42+4+
(8*(2/6))	826/*
(9+(7+0))	970++
((9/6)/0)	96/0/
((6+9)+0)	69+0+
(5+(9*1))	591*+
(0*(6+3))	063+*
((2*2)/8)	22*8/
((2-8)+6)	28-6+
((3-0)-0)	30-0-
((6-7)-0)	67-0-
(0+(8*6))	086*+
(1-(4/5))	145/-
(8*(4+3))	843+*
(3/(3*8))	338*/
(6*(6/9))	669/*
(7/(3-4))	734-/
((3*2)*2)	32*2*
((8/2)/8)	82/8/
((0/9)*9)	09/9*
(5*(4-1))	541-*
(9/(8/4))	984//
(3*(8/5))	385/*
(8-(1+3))	813+-
(0-(4*6))	046*-
(0+(8+7))	087++
(4*(9*4))	494**
(5-(4/7))	547/-
((8+0)-5)	80+5-
((0/8)-2)	08/2-
(8-(2+3))	823+-
((3+4)/5)	34+5/
(0-(9/2))	092/-
(2+(0-6))	206-+
(5*(5+0))	550+*
(5*(7/6))	576/*
(3-(2+0))	320+-
(7*(2*0))	720**
(6+(9/7))	697/+
(0*(6/2))	062/*
((2/7)*0)	27/0*
(2+(1+2))	212++
((9+0)/3)	90+3/
((4+3)*1)	43+1*
(6-(7+6))	676+-
(6*(7*9))	679**
((2+6)/6)	26+6/
(8+(0+8))	808++
(5-(3/4))	534/-
((7-7)*7)	77-7*
((3*1)-6)	31*6-
((0+5)/5)	05+5/
((6-0)*5)	60-5*
((6*8)-1)	68*1-
(9/(9/8))	998//
(9/(3/4))	934//
(8/(9*6))	896*/
(0-(5+9))	059+-
(1-(4*2))	142*-
(9-(7*6))	976*-
(7/(1-6))	716-/
(0-(2+3))	023+-
((0-8)-5)	08-5-
((5+8)-7)	58+7-
((9+3)-4)	93+4-
(9*(4-8))	948-*
((1+0)/4)	10+4/
((5-2)*9)	52-9*
(3/(0/6))	306//
(8+(1-8))	818-+
(6-(2/3))	623/-
(4+(8-9))	489-+
((3-1)/9)	31-9/
(5+(3-6))	536-+
((4*2)+9)	42*9+
(6/(6-0))	660-/
(2*(6-9))	269-*
(3*(8/2))	382/*
(6+(5+8))	658++
(7*(9-6))	796-*
(0/(6/4))	064//
(7+(4+9))	749++
(3+(9/5))	395/+
((6+7)-1)	67+1-
(5*(1-9))	519-*
(3*(8+6))	386+*
(8*(8/1))	881/*
(8+(4+4))	844++
(2+(0*0))	200*+
(1/(2-1))	121-/
((3/6)-9)	36/9-
(9*(9-6))	996-*
(5+(5+0))	550++
(3-(5*3))	353*-
(5+(5-9))	559-+
(9+(8/2))	982/+
(1+(6*6))	166*+
((3-8)+8)	38-8+
(8/(2+9))	829+/
((6/2)/0)	62/0/
(4+(9/4))	494/+
((2/6)*4)	26/4*
(5*(4-1))	541-*
(3*(1-2))	312-*
(0*(6+2))	062+*
(0-(5*0))	050*-
(8-(9+5))	895+-
((7-5)+9)	75-9+
(4-(7/7))	477/-
((9*9)*8)	99*8*
(4*(4+2))	442+*
(6-(8/2))	682/-
(0+(2*1))	021*+
((0+9)*5)	09+5*
(4/(4+7))	447+/
((5*1)/7)	51*7/
(2*(8+2))	282+*
((6/1)-7)	61/7-
(3-(5*3))	353*-
(4+(0*5))	405*+
((2-4)-1)	24-1-
((3/4)/7)	34/7/
((8/9)/1)	89/1/
(2/(9+0))	290+/
(4*(3/6))	436/*
(8/(0/3))	803//
(4-(5/7))	457/-
(1-(1-1))	111--
((8+3)+6)	83+6+
((4*3)-6)	43*6-
(2+(4-8))	248-+
(8*(7*3))	873**
((4*4)/9)	44*9/
(0/(8+0))	080+/
((8*4)*0)	84*0*
(7+(0-3))	703-+
((0*2)+2)	02*2+
(1+(9/0))	190/+
((4-5)*8)	45-8*
(8-(4+2))	842+-
((8*0)*3)	80*3*
(7*(6+2))	762+*
(6+(7/7))	677/+
((3/6)/4)	36/4/
(8+(3/3))	833/+
(4+(8*2))	482*+
((3+6)*2)	36+2*
((7*4)*3)	74*3*
((6+9)*0)	69+0*
(6-(3*5))	635*-
(3*(3-0))	330-*
((7+3)-1)	73+1-
(2/(7-0))	270-/
((1+5)-2)	15+2-
(8/(2*2))	822*/
(2/(6+8))	268+/
((8-1)+8)	81-8+
(2-(1*2))	212*-
(4*(2/8))	428/*
(6*(3+2))	632+*
(7-(4+3))	743+-
((0+7)*8)	07+8*
(0/(0+5))	005+/
(9+(9/0))	990/+
(8*(4+0))	840+*
(2+(8+5))	285++
((4/2)*4)	42/4*
((2+7)/1)	27+1/
((6*7)*0)	67*0*
((3-8)+9)	38-9+
(0+(5-0))	050-+
(1+(2+6))	126++
(0-(6+2))	062+-
((7*8)-0)	78*0-
(3*(2/6))	326/*
((3+0)/8)	30+8/
(0+(2+9))	029++
(8+(7+4))	874++
((7/7)-4)	77/4-
((3/9)-8)	39/8-
(9/(0*4))	904*/
(5-(8-6))	586--
(8/(7/2))	872//
(9*(4/7))	947/*
((2*5)-4)	25*4-
(9+(9+6))	996++
(2-(7-2))	272--
(4-(8/0))	480/-
((3/8)+0)	38/0+
(7-(1/7))	717/-
(7-(9*9))	799*-
(9-(8*7))	987*-
((2/3)/1)	23/1/
((6/5)+3)	65/3+
((7-9)+8)	79-8+
(8/(0+9))	809+/
(1-(5/4))	154/-
((8+7)/0)	87+0/
(0+(8-7))	087-+
((2*4)/4)	24*4/
((8+8)*8)	88+8*
(9*(2-4))	924-*
(8*(8*1))	881**
((2-7)-8)	27-8-
((7/8)/4)	78/4/
((0/3)*8)	03/8*
(4*(2-3))	423-*
(8+(0/6))	806/+
(4*(7*4))	474**
((6+2)*4)	62+4*
(1/(0/5))	105//
(0*(2/9))	029/*
((0+0)-8)	00+8-
(5/(0+4))	504+/
(0-(1/5))	015/-
(4+(8*2))	482*+
((5*6)-3)	56*3-
(8-(0-8))	808--
(6+(9*4))	694*+
(6*(1+1))	611+*
((6/7)*7)	67/7*
(9-(3+2))	932+-
((1*6)-6)	16*6-
(3-(0*7))	307*-
(6/(6-0))	660-/
((1-8)/7)	18-7/
((7-6)+6)	76-6+
(5*(7/4))	574/*
(3*(3-6))	336-*
(1+(0*9))	109*+
((1-0)-7)	10-7-
((9-6)*7)	96-7*
(3-(4-9))	349--
(7*(8*7))	787**
((7-1)*1)	71-1*
(1-(6-2))	162--
(1-(0+1))	101+-
((4/0)+6)	40/6+
((2+3)+2)	23+2+
(8*(4-0))	840-*
(6-(4*5))	645*-
(4/(7/5))	475//
(9*(9+8))	998+*
(6*(0/6))	606/*
(5/(7-6))	576-/
((1-4)+3)	14-3+
(0-(2+5))	025+-
((1/8)-5)	18/5-
(7/(4-8))	748-/
(0+(4-0))	040-+
(6-(7+9))	679+-
(8+(3-6))	836-+
(6*(1-8))	618-*
(2*(7/7))	277/*
((0*8)*5)	08*5*
(5/(4-0))	540-/
(0*(9-2))	092-*
(8+(7/7))	877/+
(3/(6+7))	367+/
((2+8)*5)	28+5*
((6*1)*5)	61*5*
(5/(3-9))	539-/
(6*(6/0))	660/*
(9/(5-6))	956-/
((1+8)*6)	18+6*
(3/(9+1))	391+/
(5+(4+0))	540++
(6*(5+5))	655+*
(8+(7*8))	878*+
(4/(7/5))	475//
((0+2)+0)	02+0+
((9+6)*4)	96+4*
(4/(0/8))	408//
(9/(1/5))	915//
(9*(3+2))	932+*
((8-7)+0)	87-0+
(6+(7*3))	673*+
(9*(0-6))	906-*
((8-3)/7)	83-7/
((1*1)/1)	11*1/
(9/(7-2))	972-/
(1-(6+4))	164+-
((8/5)*3)	85/3*
((3+1)-9)	31+9-
(8+(9-0))	890-+
((5-2)/7)	52-7/
(6/(9*1))	691*/
(6/(2*6))	626*/
((7*4)*6)	74*6*
((6*8)*2)	68*2*
((9*9)-6)	99*6-
((2/7)*1)	27/1*
(8+(4-5))	845-+
((1/0)/6)	10/6/
(4/(1+5))	415+/
((5/5)*3)	55/3*
((9*4)+3)	94*3+
(4/(0-6))	406-/
((4/5)/4)	45/4/
(0-(0+8))	008+-
((7+8)+9)	78+9+
(4-(3/8))	438/-
((3*8)+8)	38*8+
(7+(0/5))	705/+
(2/(9*2))	292*/
((8+3)-6)	83+6-
(6*(5+1))	651+*
(9-(8-2))	982--
(0-(8/5))	085/-
(7*(8*8))	788**
(3+(0-5))	305-+
(9+(8*8))	988*+
((5+5)-8)	55+8-
(9+(6/9))	969/+
(4*(0-6))	406-*
(1/(1*6))	116*/
((3/9)*5)	39/5*
(6*(1+1))	611+*
(5+(4/8))	548/+
((2-6)*1)	26-1*
((1-2)/0)	12-0/
(3+(2/5))	325/+
(0/(1+1))	011+/
((8-8)+2)	88-2+
((5/7)+4)	57/4+
((2+4)/4)	24+4/
((1-6)-5)	16-5-
((6+1)-7)	61+7-
((5/1)/9)	51/9/
(4/(6/9))	469//
(6/(3*9))	639*/
((3+2)*7)	32+7*
((3/9)+1)	39/1+
(0/(7-4))	074-/
(6+(0/8))	608/+
(3-(7-9))	379--
(2-(1-6))	216--
((2*4)*3)	24*3*
((6*0)+8)	60*8+
(1/(5-2))	152-/
(3-(7/6))	376/-
(4*(0+8))	408+*
((2+0)/9)	20+9/
((6-4)/5)	64-5/
(9/(9*2))	992*/
(3-(7/8))	378/-
(8/(7*2))	872*/
((5+2)/3)	52+3/
(1*(4-4))	144-*
(7+(5/9))	759/+
(5/(5/6))	556//
(8*(2*2))	822**
(8*(6/6))	866/*
(6+(9*7))	697*+
(6*(2+1))	621+*
((3-8)/6)	38-6/
(7+(8+9))	789++
(9+(8*7))	987*+
((2/7)-1)	27/1-
(0*(7*1))	071**
(0-(1-3))	013--
(0*(8*0))	080**
(9-(5/8))	958/-
(0-(4+6))	046+-
((3-1)+9)	31-9+
((3-5)*8)	35-8*
((3*2)-2)	32*2-
((4-1)/7)	41-7/
((4/4)+5)	44/5+
((2/6)-4)	26/4-
((6/8)+6)	68/6+
(9*(6-7))	967-*
(6+(8-4))	684-+
(0+(7-2))	072-+
((7*0)+1)	70*1+
(3-(6-5))	365--
(3/(6*0))	360*/
((3/9)/3)	39/3/
((7/1)-1)	71/1-
(0*(4*5))	045**
((2*6)/3)	26*3/
(9/(2+8))	928+/
(1-(3+2))	132+-
(7/(1-7))	717-/
((9+5)*2)	95+2*
(4-(8+0))	480+-
((8*5)+5)	85*5+
((5/9)+9)	59/9+
(6-(2/6))	626/-
((6+0)*2)	60+2*
((4/6)/9)	46/9/
(5+(2/8))	528/+
(3-(9*3))	393*-
(5-(3+4))	534+-
((9-0)+3)	90-3+
(9-(1/1))	911/-
(6+(0+5))	605++
((4+0)*5)	40+5*
(1+(9*4))	194*+
((5/9)-7)	59/7-
(8+(9*2))	892*+
((7/7)*3)	77/3*
((2/5)/5)	25/5/
(8*(0*3))	803**
(9*(8+5))	985+*
(5+(8+3))	583++
(6*(3+6))	636+*
(3-(2/5))	325/-
(6+(4+3))	643++
(9+(8-4))	984-+
(6+(7+0))	670++
(8/(3*9))	839*/
(6*(1+7))	617+*
((4*1)+0)	41*0+
(2+(3/9))	239/+
((8+6)+0)	86+0+
(9+(7+4))	974++
((9/7)-2)	97/2-
(8*(8+0))	880+*
((1+8)-6)	18+6-
(0-(1-8))	018--
((8+4)+3)	84+3+
(2-(2+4))	224+-
(6+(4/7))	647/+
(0-(6/1))	061/-
(6/(2*9))	629*/
((1+6)+5)	16+5+
((6-8)/8)	68-8/
(1+(2*3))	123*+
(9*(0/8))	908/*
((3*7)*1)	37*1*
(8*(5*1))	851**
(3-(8-9))	389--
((7+6)/0)	76+0/
(3+(4/2))	342/+
(6*(1+2))	612+*
(0/(0+8))	008+/
(1+(9/6))	196/+
(3-(7*8))	378*-
(9-(0*9))	909*-
((9-8)+9)	98-9+
((7/3)+8)	73/8+
((6/9)-4)	69/4-
(6*(8/9))	689/*
((7*4)/2)	74*2/
((8-7)*8)	87-8*
((0-6)+2)	06-2+
(2-(5+2))	252+-
(8*(2+8))	828+*
(1-(4*0))	140*-
(2-(6+7))	267+-
(0*(8-0))	080-*
((3+7)+7)	37+7+
((1+9)/7)	19+7/
((1+3)/2)	13+2/
(6+(6/5))	665/+
(9+(1*4))	914*+
((1/8)+6)	18/6+
(9-(8*3))	983*-
(0-(8+0))	080+-
((8+3)+6)	83+6+
(6+(3-5))	635-+
(4+(1+8))	418++
(9+(3*5))	935*+
(4+(9-1))	491-+
(4+(5-9))	459-+
(8+(1-5))	815-+
(8+(6-1))	861-+
(2/(1-4))	214-/
(7+(2+1))	721++
((7/6)-3)	76/3-
((0/8)/3)	08/3/
((6*8)+3)	68*3+
(3+(5/4))	354/+
(4*(2-9))	429-*
(6+(0+7))	607++
(9*(3-9))	939-*
(8-(5-8))	858--
((2-5)-9)	25-9-
