(((2+0)-(9*2))*(6*9))	20+92*-69**
(((4*(9/5))-6)-(3-(1/2)))	495/*6-312/--
((7+5)-((0+(1+9))*4))	75+019++4*-
((1+(7*(3*(6+1))))-(7*7))	17361+**+77*-
(((8-(5+3))*(0/1))/1)	853+-01/*1/
(((4/3)+5)*(5*(5*(0-7))))	43/5+5507-***
(2+(1-(1*((3+2)+8))))	21132+8+*-+
((8-9)+(9+(4-(4-3))))	89-9443--++
((7/((0-1)*1))-(1/(9-1)))	701-1*/191-/-
((0+((6+5)-(2*(2/4))))-6)	065+224/*-+6-
((4*(5*(6/2)))/(9-(9*6)))	4562/**996*-/
((3-(1+(8-(0+7))))+(4/7))	31807+-+-47/+
((0*(8-(1+7)))-(4*4))	0817+-*44*-
((3/(2/4))*(1*(3*(5/1))))	324//1351/***
((3*(3*(3+0)))/(4+1))	3330+**41+/
((8-((7+3)*2))+(9+2))	873+2*-92++
((2/2)/(6+((5/7)/(0+3))))	22/657/03+/+/
(((3/2)*(2+7))/(3-9))	32/27+*39-/
((5-((1+3)+3))-(5*0))	513+3+-50*-
((8*0)/((8*(3/7))/6))	80*837/*6//
(((2*1)*(3/0))*(2+(1+7)))	21*30/*217++*
(((1-9)/(6+0))+(2/(6*9)))	19-60+/269*/+
(((9/((7*8)/7))-0)-(3-8))	978*7//0-38--
((1/(4-(6*9)))-(6*(8/8)))	1469*-/688/*-
((5/2)*(1+(1+(7-0))))	52/1170-++*
((6-(8+(4/(0-3))))*(9/6))	68403-/+-96/*
((8/(0/3))*(6+(4-3)))	803//643-+*
((8+(3*8))*(4*(0-4)))	838*+404-**
(((1/(0-9))+(9+6))*(8*4))	109-/96++84**
((7/0)*(6+(9*(5*(3*4)))))	70/69534***+*
(4+(3/(9+(4+(0+5)))))	439405+++/+
((5-((0*8)-(0*3)))-(6/3))	508*03*--63/-
((1*3)+(4*((9*7)*(9*2))))	13*497*92***+
((6+8)/(6/(6-(7/3))))	68+6673/-//
((3/(7+3))+(1+(0+4)))	373+/104+++
(0+(2/(2+((3+2)-4))))	02232+4-+/+
((2-((1/4)/5))*(5/2))	214/5/-52/*
((5/((0*(7/1))/0))/0)	5071/*0//0/
((7-(2-1))+(5-(4+(0*8))))	721--5408*+-+
(((7+6)+0)+(5*(1/8)))	76+0+518/*+
((7/((7+9)*(0+2)))+(8*8))	779+02+*/88*+
((4/(7/((7+4)-0)))/7)	4774+0-//7/
((5-(8+9))-(8-(6-5)))	589+-865---
((3+0)-(7-((8/5)+(5/9))))	30+785/59/+--
((6+2)+((9/3)*(3/(0*2))))	62+93/302*/*+
(((7+0)*(8/(1*(6-0))))/6)	70+8160-*/*6/
(((4+4)/3)-(6*(5/8)))	44+3/658/*-
(1/((3-(9/7))*(4*9)))	1397/-49**/
(3+(7-(4/(7/(2*2)))))	374722*//-+
((8/(9+2))-(2*(5-8)))	892+/258-*-
(((4/(0-5))-(9*7))/(3+8))	405-/97*-38+/
(((7+9)+(8+(3-1)))/(9-1))	79+831-++91-/
(((1-1)+((1-6)-2))+(1/2))	11-16-2-+12/+
((3/(8/8))+(6+(1*(7*3))))	388//6173**++
(((3/(7-3))*7)/(2*1))	373-/7*21*/
(5*((1*7)/(4*(3-5))))	517*435-*/*
((3+(3-2))-(1*(7*(4*1))))	332-+1741***-
((6+4)/((0/(1+8))*(6*2)))	64+018+/62**/
(6-(5+(3/(2/(6+1)))))	653261+//+-
(((6/7)-(2-1))-(5+(0*8)))	67/21--508*+-
(((2/0)/(9-6))-(0-8))	20/96-/08--
(((1/(1-7))/(7+(4*0)))*0)	117-/740*+/0*
((0-4)/(0*(2+(8+7))))	04-0287++*/
(3+((5/(6/9))*(9*2)))	3569//92**+
(1/((4*4)+(2-(4/(9*7)))))	144*2497*/-+/
(3-((9*(9*9))/(7*0)))	3999**70*/-
((5/(8/2))*(1*(9/5)))	582//195/**
((7/0)/(((7-4)*(9*2))+5))	70/74-92**5+/
(((4+(0-(0-5)))+(8-6))+8)	4005--+86-+8+
(((6/8)*(5/8))/(4-4))	68/58/*44-/
((5+(1*(0/2)))/(1-(6/5)))	5102/*+165/-/
(4/(8+((5*(2*7))-(4/5))))	48527**45/-+/
((6/(2+5))*(3+(5*(4+3))))	625+/3543+*+*
(((0-1)*(6+8))+(0-3))	01-68+*03-+
((3*3)*(6+((5-4)-(3-0))))	33*654-30--+*
((5-6)*(0*(7/(3+8))))	56-0738+/**
(((3-7)*(0/(1+(2/6))))/8)	37-0126/+/*8/
((0+(3-(8/3)))-(1*(8+0)))	0383/-+180+*-
(4*(7-(((7+1)+9)-(4*4))))	4771+9+44*--*
(((3*8)-(0-(5+7)))+0)	38*057+--0+
((3*(9+2))*(1-(2-(7*3))))	392+*1273*--*
((5-(2/2))-((8-0)*8))	522/-80-8*-
((5+(0*6))+(3-(7+4)))	506*+374+-+
((5-(8+(5-0)))*(3-8))	5850-+-38-*
((6*1)+(2/(8-(1*1))))	61*2811*-/+
((0/(5+0))/((9+5)+3))	050+/95+3+/
(((((5*(7+6))/4)/0)-4)+9)	576+*4/0/4-9+
(9/(7+(6/(8+(0/2)))))	976802/+/+/
(((1*0)+(7+0))+(6+2))	10*70++62++
((4+(5-5))-(6+(1+1)))	455-+611++-
(((0+(3*2))-9)-(4*(5-8)))	032*+9-458-*-
((((8+3)/5)-(4-0))*(9*8))	83+5/40--98**
(((3+4)+((0-6)-0))*(2*8))	34+06-0-+28**
((2*3)/(7+(7/(0*8))))	23*7708*/+/
((3*(8-(7*5)))*(0-(1*8)))	3875*-*018*-*
((1*4)*(7*(8*(7*2))))	14*7872****
(9*((2-(3*0))-(8*(9+2))))	9230*-892+*-*
((0/(6*1))/(9*(5+4)))	061*/954+*/
(3/((9/4)/(5*(3/(5-6)))))	394/5356-/*//
(((2*5)*4)/(3-(3*(1*0))))	25*4*3310**-/
((0/((5*2)+0))-((7+4)+4))	052*0+/74+4+-
(3-(7*((6/2)*(8-2))))	3762/82-**-
(((9-5)+((6/6)-6))/8)	95-66/6-+8/
((1+(4+9))*(7/(3/(7*5))))	149++7375*//*
((0-((6/1)+(0/7)))*(3/7))	061/07/+-37/*
((1/(3/9))/(5/(2/(4*7))))	139//5247*///
(((4*6)*(4-0))+((1+4)/1))	46*40-*14+1/+
(((1*6)-0)-((6*3)*(7/1)))	16*0-63*71/*-
((2*(8*1))+(1-(2/(1/6))))	281**1216//-+
(((9-7)+(1/6))*(7/0))	97-16/+70/*
(((4*(8-0))*2)/(8-3))	480-*2*83-/
((5+(8/(2*6)))+(9*(3-2)))	5826*/+932-*+
((9/1)/(8-(8-(5*(5-7)))))	91/88557-*--/
(((2/7)-0)/(6/((0*2)-8)))	27/0-602*8-//
((3/2)-(3-(4+(4/4))))	32/3444/+--
((2/(8-6))+(3*(6+7)))	286-/367+*+
(((1*3)+(3*8))-(1*2))	13*38*+12*-
((5/(8*6))*(3-(9*(3+2))))	586*/3932+*-*
((1+(1-7))+(5*(4*2)))	117-+542**+
((3-(7+5))+(7/(7+(5/1))))	375+-7751/+/+
((6+(0-3))+(0/(1*(1-7))))	603-+0117-*/+
((7+(7+0))+(6+(0-(3*0))))	770++6030*-++
(((5/(6*4))+(6-7))*(7+0))	564*/67-+70+*
((7*(8*(3*8)))+(2/2))	7838***22/+
((5/(9*8))+(1/(0+(9/9))))	598*/1099/+/+
((8-(2-2))/(8+(5+2)))	822--852++/
((3*9)*((8+(1+(2/7)))*7))	39*8127/++7**
((9-(2+(8*1)))+(4+2))	9281*+-42++
((0+(0*4))/(6-(7*4)))	004*+674*-/
((1*(6/(2*3)))+(6/4))	1623*/*64/+
((2+(4-1))/((9/8)+9))	241-+98/9+/
((2-(2*(8-(7/2))))*3)	22872/-*-3*
(((5-(9/7))-3)*(3/6))	597/-3-36/*
((7*(4+(2*8)))+(5-(0/2)))	7428*+*502/-+
(((3*(2/8))+(5/6))*9)	328/*56/+9*
(3-((8/(7+(0+(0+1))))-5))	387001+++/5--
(8/((2-((9*9)+(6-9)))/5))	8299*69-+-5//
((6+1)-(6+(7-(4*(7-3)))))	61+67473-*-+-
((6/6)+(8/(0/(2*3))))	66/8023*//+
((9*5)*(5/((0+0)+(2/3))))	95*500+23/+/*
(((3+5)*(4/8))/(9-(4-7)))	35+48/*947--/
(3-(9/(5-(7-(3+1)))))	395731+--/-
(((3+4)-(6/3))+(2*(2+4)))	34+63/-224+*+
((9-9)+((9-(9*2))/(2/2)))	99-992*-22//+
(((5+(5/6))+(1*2))/(9+2))	556/+12*+92+/
(((4+7)-(4-(1-9)))*(9/8))	47+419---98/*
((3*8)+(9*(2-(8+6))))	38*9286+-*+
((1*(1+(6*(4-1))))/(3-2))	11641-*+*32-/
(3*((4+(6*6))-(4*8)))	3466*+48*-*
(((5/1)-(4-8))/(0*9))	51/48--09*/
((6/(6*(8+4)))/(5*0))	6684+*/50*/
(7*(1+(1+(7+(3/6)))))	711736/+++*
(((0+(4*(8/(2*6))))/3)*9)	04826*/*+3/9*
((3*(7*(6/6)))/(8*(9-9)))	3766/**899-*/
((6*(5+(5/5)))+(0*(5*7)))	6555/+*057**+
(5/((1*(4/(4-7)))+(9/1)))	51447-/*91/+/
((4/7)*(4-(6*(0/4))))	47/4604/*-*
((5+(2/(2+4)))+(6-(4*5)))	5224+/+645*-+
(((7+8)*(9/(4+7)))-(0/8))	78+947+/*08/-
((0+(3/0))-(7-(0+1)))	030/+701+--
(((0*5)+6)*(3/(4+3)))	05*6+343+/*
(((0+4)-7)*(0*(4*8)))	04+7-048***
(((7/5)*(4-1))*(1/9))	75/41-*19/*
((9+(9*(8*(1+4))))*(6-2))	99814+**+62-*
((3/(0-4))*(0-(5/3)))	304-/053/-*
(((8-2)*(0+2))+(5/9))	82-02+*59/+
((4/(0/3))-(1*(6/7)))	403//167/*-
(0/((5-7)+(5*(1/3))))	057-513/*+/
(((8/7)*8)-(2/(8-2)))	87/8*282-/-
((7*(5+(4*2)))-(8*(3-1)))	7542*+*831-*-
((6+5)-((5-(5/(6-7)))/5))	65+5567-/-5/-
(2/((8*(1*5))+(9/5)))	2815**95/+/
(((0+7)/(5+7))/(8+(0*5)))	07+57+/805*+/
(((((8*5)+(1/1))-5)+4)/6)	85*11/+5-4+6/
((1*(0-2))*(2/(4+(6+3))))	102-*2463++/*
((((8*7)-6)-7)*(9+(8+3)))	87*6-7-983++*
(((4-7)-(2/6))-(3+1))	47-26/-31+-
(9-(1-(6/(3/(8*6)))))	916386*//--
((9-9)/((6+7)/(9+(1/0))))	99-67+910/+//
(3*((6+(7-6))-((4*6)*1)))	3676-+46*1*-*
((4-9)/((4/(1+1))+(5/6)))	49-411+/56/+/
(0-((7*(2*8))-(3+9)))	0728**39+--
((5*(9/(4/3)))/((6*3)*7))	5943//*63*7*/
(2-((1-5)*(4*(0+1))))	215-401+**-
(8+((9-(9-5))/(9+(3*3))))	8995--933*+/+
((9+0)-(4+(7/(3-(3*1)))))	90+47331*-/+-
((7*(0/(3+(8-7))))-5)	70387-+/*5-
(9*((4*1)-(8/(9+3))))	941*893+/-*
((8*(0+6))*(3-(5+7)))	806+*357+-*
((7-(1/9))*(1*(0/(6*1))))	719/-1061*/**
((5*(4-7))/((8/1)+(2/6)))	547-*81/26/+/
((1/3)/((0-0)-(2-(9*0))))	13/00-290*--/
((7-8)/(0+(7-(6+2))))	78-0762+-+/
(((7*(7-5))*1)-(6+0))	775-*1*60+-
((5+1)*((8-2)+(2*(7-7))))	51+82-277-*+*
(((3/9)+(0*0))-(3/3))	39/00*+33/-
((((2*(8-5))*2)+1)-(6+3))	285-*2*1+63+-
(((0+0)*(0*7))/(2+1))	00+07**21+/
(6+(6+(0/(9+(5*9)))))	660959*+/++
((1*(1*(8+5)))/(7+9))	1185+**79+/
(9+((3+(2-5))/(4/8)))	9325-+48//+
((9/(4*5))-((6*1)+3))	945*/61*3+-
((8/8)/((5/9)+(3-6)))	88/59/36-+/
(5*((6*6)-((7-0)*(8-9))))	566*70-89-*-*
(((6*1)/(1*3))-(4/6))	61*13*/46/-
((9/(3/1))/(2+(3+8)))	931//238++/
((3-(3+8))*(4+(6/2)))	338+-462/+*
(((1*9)/(3+4))*(5*(1+8)))	19*34+/518+**
(((1-0)+(0-9))/((9-4)/0))	10-09-+94-0//
(0+(4/(8*(8-(8/(5-3))))))	0488853-/-*/+
((2/3)-(5+(4-(1/(8*3)))))	23/54183*/-+-
(9*((7+1)+(6/(8*1))))	971+681*/+*
((8-(2-2))/((7/3)*(8+5)))	822--73/85+*/
(((6*(8/1))/(9*9))/(0-0))	681/*99*/00-/
(8*(5*((2/6)/(5+4))))	8526/54+/**
((4-1)*((7+3)/(6/(1-0))))	41-73+610-//*
(6/(7-(4/(0+(4+(8-3))))))	6740483-++/-/
((9/(0-(1+6)))-(0+9))	9016+-/09+-
(((9+8)*(2/(3*9)))+(8*3))	98+239*/*83*+
(((2*6)/(0/3))-(3*(3/9)))	26*03//339/*-
((2+(3/6))+(8+(7*(5/6))))	236/+8756/*++
((1-(5/1))-(5*(1+(0/3))))	151/-5103/+*-
((2+(5/((6-1)*(0-7))))+3)	2561-07-*/+3+
((9-3)+((9-(5+6))*(0/4)))	93-956+-04/*+
((2/2)+(9/(9/(9/(3-7)))))	22/99937-///+
(7+((8-2)-(2/(9/9))))	782-299//-+
((6*3)*(2/(6+(8-7))))	63*2687-+/*
(8/((4-0)/(6*(5/(0/7)))))	840-6507//*//
((9/8)+(1*(0/(7+(4/0)))))	98/10740/+/*+
(((9+0)-(9/9))+((1/5)+3))	90+99/-15/3++
(0+(4+((4+4)/(4-3))))	0444+43-/++
(((7*(3-3))/6)/(0+5))	733-*6/05+/
(3+((0-(7-4))+(6*(0-9))))	3074--609-*++
((5/7)/(1*(9-(0*(7*4)))))	57/19074**-*/
((0-0)/((5/(0/9))+(5-0)))	00-509//50-+/
(((2/7)+(4+(2+1)))-5)	27/421+++5-
(6*(7-((4/9)/(7/3))))	6749/73//-*
(((9-(2/3))/9)*(6-(8/8)))	923/-9/688/-*
((4+(5/4))+(8-(3*5)))	454/+835*-+
((4/((1/1)-5))*(1+(6+2)))	411/5-/162++*
((4-(2/9))+(3-(4+5)))	429/-345+-+
((((7/0)/8)/2)*((8*9)/4))	70/8/2/89*4/*
((2*(8/(1+7)))-(6-8))	2817+/*68--
((0-(6/(3*9)))-(3+(4*9)))	0639*/-349*+-
(((7+3)*(4+8))/(8+(0*9)))	73+48+*809*+/
((1+(4/(6/4)))-(8+(0/4)))	1464//+804/+-
((8/(7/7))+(7+(7/(9+5))))	877//7795+/++
((2+(2*6))-(5-(9+(5*5))))	226*+5955*+--
(0+(1/(2*((0+1)/0))))	01201+0/*/+
((8+(5+(1+(5*9))))/(4-7))	85159*+++47-/
((7+(8+(5*5)))+(6+1))	7855*++61++
(7-((8*(4/9))*(4-3)))	7849/*43-*-
(8/(2*((7/(6-1))/9)))	82761-/9/*/
((3-5)/(3*((3*1)*(8+3))))	35-331*83+**/
((3+(3*7))*(9/(2*8)))	337*+928*/*
(7+(((0+9)/(5+2))-(8/8)))	709+52+/88/-+
(6*(2+(6/(4-(5/0)))))	626450/-/+*
((4/(3+9))-(1*(9/(9*0))))	439+/1990*/*-
(((9*1)+(7-3))-(9/(2+9)))	91*73-+929+/-
(((3/7)-(2/(1*9)))+(9*6))	37/219*/-96*+
((7+(8+1))+(2/(1/(4+6))))	781++2146+//+
((4*(0*(5+1)))-(4-0))	4051+**40--
((0/(9-1))-(8+(5*9)))	091-/859*+-
(4/(((3*3)/(6/2))*8))	433*62//8*/
((4*(1+2))/(5+(9-(7/9))))	412+*5979/-+/
(((4+(2-9))+(5/9))+(1/3))	429-+59/+13/+
(((9/(1*0))/7)+(2+(1-8)))	910*/7/218-++
((9*(8/2))/(2+(3*(9+9))))	982/*2399+*+/
(((1*3)-(2-(6-2)))*(1*1))	13*262---11**
(((0*(5+7))/(3/9))*3)	057+*39//3*
(((5+1)+(8+0))*(3+8))	51+80++38+*
(((4+2)-(6-(1+(0/3))))/3)	42+6103/+--3/
((1+(0-8))/(9/(5*9)))	108-+959*//
(((1*8)+(7/4))/(3+9))	18*74/+39+/
((1*2)-((8/(9+7))/(9*7)))	12*897+/97*/-
(((2*2)-((4+1)*2))*0)	22*41+2*-0*
((4-((0+(7/2))+5))+(6-4))	4072/+5+-64-+
((4-7)/(9/(5/(9/2))))	47-9592////
((1/4)*(3/(4-(5+4))))	14/3454+-/*
((3-1)/(8*(7+(6+3))))	31-8763++*/
(((4*8)-1)*(9+(7+3)))	48*1-973++*
((3-(1*(5+5)))*(8*(0+9)))	3155+*-809+**
(5/((6-6)-(9*(3/8))))	566-938/*-/
(((0-(9/4))+(9*5))*2)	094/-95*+2*
((4-7)/(9/(8+(6+(3+7)))))	47-98637+++//
((9*6)/(5-(5-(4*0))))	96*5540*--/
(6*((0+(0*0))*(2+7)))	6000*+27+**
((1*(3-(7*(9+6))))*3)	13796+*-*3*
(((3-8)-0)-((5+1)*(1/3)))	38-0-51+13/*-
((7+(3-2))*(2*(0*(2/2))))	732-+2022/***
((5*(5/(9*(1/(9+8)))))-8)	559198+/*/*8-
(9/(6*((1+3)*(7+5))))	9613+75+**/
(((1*3)*(7/2))+(6/4))	13*72/*64/+
((4-(8*6))*(0+(5-6)))	486*-056-+*
((8-4)/((5*5)-(4+4)))	84-55*44+-/
((8+(7/4))/(1*(9+9)))	874/+199+*/
((((4/7)+5)+(0/(7+4)))+8)	47/5+074+/+8+
(0*((2+0)+(9*(6-1))))	020+961-*+*
((2*(5-1))/(8-(4+4)))	251-*844+-/
(((0-(6*(5*9)))*3)*6)	0659**-3*6*
(((4+(6/3))/1)/(5*9))	463/+1/59*/
(((7/4)-(1*6))+(4-4))	74/16*-44-+
((1*(0/(7/0)))+(1-(1*6)))	1070//*116*-+
((6+0)*(4+(0-(0/9))))	60+4009/-+*
((4/(3/(4/(6+4))))-(3+1))	43464+///31+-
((9*7)*(6/(2/(0/(0-3)))))	97*62003-///*
((6+(1/5))*(4/(2+(9+8))))	615/+4298++/*
((0+4)-((9/4)-(5+4)))	04+94/54+--
((6/(6/0))-(9/(0-(7/6))))	660//9076/-/-
((2+(2*8))+(6/(7*2)))	228*+672*/+
((1/0)+(5*(5/(5+(8-0)))))	10/55580-+/*+
(((2-5)+8)+(5*(6-3)))	25-8+563-*+
((4/(2+8))+((4/5)-(8+7)))	428+/45/87+-+
(6+((1-(9*1))*(8+7)))	6191*-87+*+
((4/9)*(4+(3-(2-5))))	49/4325--+*
(5+(2-(7-(5/(8+1)))))	527581+/--+
(1*((4-(1/1))/(7+0)))	1411/-70+/*
(((8*4)/(9-1))*(8-5))	84*91-/85-*
(2/((3/7)*(7/(9+(6*6)))))	237/7966*+/*/
(0/(8/(2+((9+2)+7))))	08292+7++//
((7-(6/1))+((3/(4-4))*8))	761/-344-/8*+
(4*((7-(8*(1-1)))-(5-7)))	47811-*-57--*
(8/(3+((4*9)*(2*5))))	8349*25**+/
((1*2)-((6-0)-(9*0)))	12*60-90*--
((7/(1-7))*(9-(0*(5-8))))	717-/9058-*-*
((0-(0+(2/6)))-(9+(7-2)))	0026/+-972-+-
((1*1)+((2+8)/(2-7)))	11*28+27-/+
(((9-2)/(3/8))/(8/(2+2)))	92-38//822+//
((4-(5-0))/(0/(7-0)))	450--070-//
(((4-5)*4)/((8/(0-0))*6))	45-4*800-/6*/
((8/(6/7))-(1*(2/3)))	867//123/*-
(2-(9-((5/9)+((4/6)/6))))	2959/46/6/+--
(((6*0)+2)/(6*(8+2)))	60*2+682+*/
(((5*0)+(8-(6-(1+0))))+2)	50*8610+--+2+
((4*(9/9))+(3+(8+5)))	499/*385+++
((((7*7)+0)-4)*(3/(6+3)))	77*0+4-363+/*
((7-(8*9))-(7+(8*7)))	789*-787*+-
(((8+8)*5)-(7+(3-2)))	88+5*732-+-
(((0*6)/(5+1))-(4/6))	06*51+/46/-
((3*7)/(1-(0-(5-1))))	37*1051---/
(9/((8*(5-7))-(3-4)))	9857-*34--/
((5-6)/(6*(7-(4-7))))	56-6747--*/
((1+5)*(1*(3/(6/(3-2)))))	15+13632-//**
(6*((4-0)+(4-(5/3))))	640-453/-+*
